title,company,location,date,url,department,workplace_type,level,source,position_type
צלם/ת ו/או מפיק/ת שטח לכאן חדשות,LOGO 10,ירושלים,2026-05-27,https://hujicareer.co.il/jobs/%d7%a6%d7%9c%d7%9d-%d7%aa-%d7%95-%d7%90%d7%95-%d7%9e%d7%a4%d7%99%d7%a7-%d7%aa-%d7%a9%d7%98%d7%97-%d7%9c%d7%9b%d7%90%d7%9f-%d7%97%d7%93%d7%a9%d7%95%d7%aa/,,onsite,junior,huji,
מנהל/ת אגף הפקה בכאן חדשות,LOGO 10,ירושלים,2026-05-27,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%90%d7%92%d7%a3-%d7%94%d7%a4%d7%a7%d7%94-%d7%91%d7%9b%d7%90%d7%9f-%d7%97%d7%93%d7%a9%d7%95%d7%aa/,,onsite,junior,huji,
עובד/ת מעבדה - בית הספר לרוקחות,HUJI Career,ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%91%d7%93-%d7%aa-%d7%9e%d7%a2%d7%91%d7%93%d7%94-%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%9c%d7%a8%d7%95%d7%a7%d7%97%d7%95%d7%aa-5/,,onsite,junior,huji,
מתאם/ת מחשוב לפקולטה למתמטיקה ולמדעי הטבע - המכון למדעי החיים,HUJI Career,ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%9e%d7%aa%d7%90%d7%9d-%d7%aa-%d7%9e%d7%97%d7%a9%d7%95%d7%91-%d7%9c%d7%a4%d7%a7%d7%95%d7%9c%d7%98%d7%94-%d7%9c%d7%9e%d7%aa%d7%9e%d7%98%d7%99%d7%a7%d7%94-%d7%95%d7%9c%d7%9e%d7%93%d7%a2%d7%99-%d7%94/,,onsite,junior,huji,
מזכיר/ה לענייני הוראה - בית הספר לרפואה,HUJI Career,ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%9e%d7%96%d7%9b%d7%99%d7%a8-%d7%94-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%94%d7%95%d7%a8%d7%90%d7%94-%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%9c%d7%a8%d7%a4%d7%95%d7%90%d7%94/,,onsite,junior,huji,
עובדים ועובדות סוציאליים - המחלקה לשירותים חברתיים אזור,AzorLogo.svg,,2026-05-25,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%91%d7%93%d7%99%d7%9d-%d7%95%d7%a2%d7%95%d7%91%d7%93%d7%95%d7%aa-%d7%a1%d7%95%d7%a6%d7%99%d7%90%d7%9c%d7%99%d7%99%d7%9d-%d7%94%d7%9e%d7%97%d7%9c%d7%a7%d7%94-%d7%9c%d7%a9%d7%99%d7%a8/,,onsite,junior,huji,
"מנהל/ת קהילה ואקוסיסטם לתכנית EasTech - החלפה לחל""ד",images (7),ירושלים,2026-05-25,https://hujicareer.co.il/jobs/7800/,,onsite,junior,huji,maternity_cover
משרות סטודנט/ית שוות באסם-נסטלה,HUJI Career,,2026-05-25,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%a9%d7%95%d7%95%d7%aa-%d7%91%d7%90%d7%a1%d7%9d-%d7%a0%d7%a1%d7%98%d7%9c%d7%94/,,onsite,junior,huji,
המשרד להגנת הסביבה מגייס סטודנט/ית לתכנון סביבתי במחוז תל אביב,לוגו-המשרד-להגנת-הסביבה,תל אביב,2026-05-25,https://hujicareer.co.il/jobs/%d7%94%d7%9e%d7%a9%d7%a8%d7%93-%d7%9c%d7%94%d7%92%d7%a0%d7%aa-%d7%94%d7%a1%d7%91%d7%99%d7%91%d7%94-%d7%9e%d7%92%d7%99%d7%99%d7%a1-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%aa%d7%9b-2/,,onsite,junior,huji,
לבית חולים שיקומי דרושה מרפאה בעיסוק,images (6),,2026-05-25,https://hujicareer.co.il/jobs/%d7%9c%d7%91%d7%99%d7%aa-%d7%97%d7%95%d7%9c%d7%99%d7%9d-%d7%a9%d7%99%d7%a7%d7%95%d7%9e%d7%99-%d7%93%d7%a8%d7%95%d7%a9%d7%94-%d7%9e%d7%a8%d7%a4%d7%90%d7%94-%d7%91%d7%a2%d7%99%d7%a1%d7%95%d7%a7/,,onsite,junior,huji,
מדריכים ומדריכות לקהילה תומכת אביבית,c3,ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%9e%d7%93%d7%a8%d7%99%d7%9b%d7%99%d7%9d-%d7%95%d7%9e%d7%93%d7%a8%d7%99%d7%9b%d7%95%d7%aa-%d7%9c%d7%a7%d7%94%d7%99%d7%9c%d7%94-%d7%aa%d7%95%d7%9e%d7%9b%d7%aa-%d7%90%d7%91%d7%99%d7%91%d7%99%d7%aa/,,onsite,junior,huji,
רכז/ת תמיכה בטכנולוגיות להוראה ולמידה - הפקולטה לרפואה,HUJI Career,ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%aa%d7%9e%d7%99%d7%9b%d7%94-%d7%91%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95%d7%92%d7%99%d7%95%d7%aa-%d7%9c%d7%94%d7%95%d7%a8%d7%90%d7%94-%d7%95%d7%9c%d7%9e%d7%99%d7%93%d7%94-2/,,onsite,junior,huji,
משרות בחברת אופיר אופטרוניקס סולושנס,images (1),ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%91%d7%97%d7%91%d7%a8%d7%aa-%d7%90%d7%95%d7%a4%d7%99%d7%a8-%d7%90%d7%95%d7%a4%d7%98%d7%a8%d7%95%d7%a0%d7%99%d7%a7%d7%a1-%d7%a1%d7%95%d7%9c%d7%95%d7%a9%d7%a0%d7%a1/,,onsite,junior,huji,
"דרושים/ות פסיכולוגים/ות בבי""ח אסותא אשדוד",channels4_profile (1),,2026-05-25,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9%d7%99%d7%9d-%d7%95%d7%aa-%d7%a4%d7%a1%d7%99%d7%9b%d7%95%d7%9c%d7%95%d7%92%d7%99%d7%9d-%d7%95%d7%aa-%d7%91%d7%91%d7%99%d7%97-%d7%90%d7%a1%d7%95%d7%aa%d7%90-%d7%90%d7%a9%d7%93/,,onsite,junior,huji,
משרות סטודנט/ית ברשות האכיפה והגבייה,download,ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%91%d7%a8%d7%a9%d7%95%d7%aa-%d7%94%d7%90%d7%9b%d7%99%d7%a4%d7%94-%d7%95%d7%94%d7%92%d7%91%d7%99%d7%99%d7%94/,,onsite,junior,huji,
לרשות האכיפה והגבייה דרוש/ה מנהל/ת תחום בכיר (מחקר),download,ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%9c%d7%a8%d7%a9%d7%95%d7%aa-%d7%94%d7%90%d7%9b%d7%99%d7%a4%d7%94-%d7%95%d7%94%d7%92%d7%91%d7%99%d7%99%d7%94-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%aa%d7%97%d7%95%d7%9d/,,onsite,junior,huji,
להנהלת בתי המשפט דרוש/ה מנהל/ת ענף (הסברה וקשרי ציבור),1716205201_011a140583e640002112,ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%9c%d7%94%d7%a0%d7%94%d7%9c%d7%aa-%d7%91%d7%aa%d7%99-%d7%94%d7%9e%d7%a9%d7%a4%d7%98-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%a2%d7%a0%d7%a3-%d7%94%d7%a1%d7%91%d7%a8/,,onsite,junior,huji,
לרשות לאכיפה במקרקעין דרוש/ה מנהל/ת תחום (חקירות ליבה),הרשות לאכיפה,ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%9c%d7%a8%d7%a9%d7%95%d7%aa-%d7%9c%d7%90%d7%9b%d7%99%d7%a4%d7%94-%d7%91%d7%9e%d7%a7%d7%a8%d7%a7%d7%a2%d7%99%d7%9f-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%aa%d7%97%d7%95/,,onsite,junior,huji,
בקרי/ות גבול לרשות האוכלוסין וההגירה,רשות האוכלוסין וההגירה,,2026-05-25,https://hujicareer.co.il/jobs/%d7%91%d7%a7%d7%a8%d7%99-%d7%95%d7%aa-%d7%92%d7%91%d7%95%d7%9c-%d7%9c%d7%a8%d7%a9%d7%95%d7%aa-%d7%94%d7%90%d7%95%d7%9b%d7%9c%d7%95%d7%a1%d7%99%d7%9f-%d7%95%d7%94%d7%94%d7%92%d7%99%d7%a8%d7%94/,,onsite,junior,huji,
