title,company,location,url,date,deadline,department,description,requirements,position_type
אחר,רמלה,רמלה,https://namerz.moin.gov.il/showexternal/55745/2,2026-06-25,2026-07-09,נוער תרבות וספורט,"רשות: רמלה · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: דרוג חינוך חברה וקהילה/ 37-39 דרוג המח""ר. **דרוג המשרה- בהתאם לכישורי המועמד · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 26/26",אקדמאית / חילופית בהתאם לחוק; קורסים נוספים כמפורט בקובץ,
מרכז נושא קליטת עליה,רמלה,רמלה,https://namerz.moin.gov.il/showexternal/55749/2,2026-06-25,2026-07-09,רווחה,"רשות: רמלה · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: דרוג חינוך חברה וקהילה/ 37-39 דרוג המח""ר. **דרוג המשרה- בהתאם לכישורי המועמד · רמת השכלה: 12 שנות לימוד, אקדמאית / חילופית בהתאם לחוק, בגרות · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 27/26",12 שנות לימוד; אקדמאית / חילופית בהתאם לחוק; בגרות,
אחר,רמלה,רמלה,https://namerz.moin.gov.il/showexternal/55751/2,2026-06-25,2026-07-09,הנדסה,רשות: רמלה · מחוז: מרכז · יחידה: הנדסה · תחום: הנדסה · דירוג: 42-44  בדירוג המהנדסים /70%-60% משכר מנכ''ל - חוזה אישי (בכפוף לאישור משרד הפנים) · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 55/26,אקדמאית / חילופית בהתאם לחוק,
אחר,רמלה,רמלה,https://namerz.moin.gov.il/showexternal/55752/2,2026-06-25,2026-07-09,חירום ובטחון,"רשות: רמלה · מחוז: מרכז · יחידה: חירום וביטחון · תחום: חירום ובטחון · דירוג: 5-8 מנהלי . · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 73/25",12 שנות לימוד; בגרות,
פקח מסייע (שיטור עירוני),רמלה,רמלה,https://namerz.moin.gov.il/showexternal/55753/2,2026-06-25,2026-07-09,חירום ובטחון,רשות: רמלה · מחוז: מרכז · יחידה: חירום וביטחון · תחום: חירום ובטחון · דירוג: מנהלי 5-8 · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 78/25,12 שנות לימוד,
מנהל מינהלת התחדשות עירונית,רמלה,רמלה,https://namerz.moin.gov.il/showexternal/55759/2,2026-06-25,2026-07-09,תוכניות לאומיות,"רשות: רמלה · מחוז: מרכז · יחידה: תוכניות לאומיות · תחום: תוכניות לאומיות · דירוג: 40-43 בדירוג הרלוונטי/ 60%-70% משכר מנכ""ל ( בכפוף לאישור משרד הפנים) · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 16/26",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
אחר,טירת כרמל,טירת כרמל,https://namerz.moin.gov.il/showexternal/55747/1,2026-06-25,2026-07-09,חינוך,רשות: טירת כרמל · מחוז: חיפה · יחידה: חינוך · תחום: חינוך · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 2026-843,אקדמאית / חילופית בהתאם לחוק,
אחר,טירת כרמל,טירת כרמל,https://namerz.moin.gov.il/showexternal/55748/1,2026-06-25,2026-07-09,חינוך,רשות: טירת כרמל · מחוז: חיפה · יחידה: חינוך · תחום: חינוך · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 2026-844,אקדמאית / חילופית בהתאם לחוק,
אחר,אשכול רשויות נגב מערבי,אשכול רשויות נגב מערבי,https://namerz.moin.gov.il/showexternal/55095/1,2026-06-10,2026-07-09,אשכולות,רשות: אשכול רשויות נגב מערבי · מחוז: דרום · יחידה: אשכולות · תחום: אשכולות · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-07-09 · מספר מכרז: 16/2026,12 שנות לימוד,
מנהל יישובי למאבק באלימות סמים ואלכוהול,סביון,סביון,https://namerz.moin.gov.il/showexternal/55487/1,2026-06-21,2026-07-09,תוכניות לאומיות,רשות: סביון · מחוז: מרכז · יחידה: תוכניות לאומיות · תחום: תוכניות לאומיות · דירוג: חינוך ונוער · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-21 · מועד הגשה: 2026-07-09 · מספר מכרז: 26,אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת הספורט הרשותי,סביון,סביון,https://namerz.moin.gov.il/showexternal/55488/1,2026-06-21,2026-07-09,נוער תרבות וספורט,רשות: סביון · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: חינוך ונוער · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-21 · מועד הגשה: 2026-07-09 · מספר מכרז: 23,אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת גיל הרך,סביון,סביון,https://namerz.moin.gov.il/showexternal/55491/1,2026-06-21,2026-07-09,חינוך,רשות: סביון · מחוז: מרכז · יחידה: הגנת הסביבה · תחום: חינוך · דירוג: חינוך ונוער · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-21 · מועד הגשה: 2026-07-09 · מספר מכרז: 24,אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת נוער,סביון,סביון,https://namerz.moin.gov.il/showexternal/55492/1,2026-06-21,2026-07-09,נוער תרבות וספורט,רשות: סביון · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: חינוך ונוער · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-21 · מועד הגשה: 2026-07-09 · מספר מכרז: 25,אקדמאית / חילופית בהתאם לחוק,
עובד יחידת גבייה,סביון,סביון,https://namerz.moin.gov.il/showexternal/55493/1,2026-06-21,2026-07-09,כספים,"רשות: סביון · מחוז: מרכז · יחידה: כספים כללי · תחום: כספים · דירוג: 7-9 / מח""ר 7-9 · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-21 · מועד הגשה: 2026-07-09 · מספר מכרז: 19",12 שנות לימוד; בגרות,
