title,company,location,url,date,deadline,department,description,requirements,position_type
אחר,נצרת,נצרת,https://namerz.moin.gov.il/showexternal/55212/1,2026-06-12,2026-06-28,רווחה,"רשות: נצרת · מחוז: צפון · יחידה: רווחה · תחום: רווחה · דירוג: עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-12 · מועד הגשה: 2026-06-28 · מספר מכרז: 34/2026",אקדמאית / חילופית בהתאם לחוק,
אחר,קרית גת,קרית גת,https://namerz.moin.gov.il/showexternal/55098/2,2026-06-10,2026-06-28,משאבי אנוש,"רשות: קרית גת · מחוז: דרום · יחידה: משאבי אנוש · תחום: משאבי אנוש · דירוג: מינהלי או מח""ר · רמת השכלה: בגרות · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-28 · מספר מכרז: 27/2026",בגרות,
מנהלן בית ספר,קרית גת,קרית גת,https://namerz.moin.gov.il/showexternal/55099/2,2026-06-10,2026-06-28,חינוך,רשות: קרית גת · מחוז: דרום · יחידה: חינוך · תחום: חינוך · דירוג: מתח דרגות 7- 9/10 · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-28 · מספר מכרז: 28/2026,12 שנות לימוד,
מנהל יחידת מכרזים והתקשרויות,אור עקיבא,אור עקיבא,https://namerz.moin.gov.il/showexternal/54966/1,2026-06-08,2026-06-29,ניהול כללי,רשות: אור עקיבא · מחוז: חיפה · יחידה: ניהול כללי · תחום: ניהול כללי · דירוג: דירוג מח''ר | דרגה 39 – 41 + או 30% - 40% שכר בכירים בכפוף לאישור משרד הפנים  או דירוג מנהלי 9 – 11 + · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-08 · מועד הגשה: 2026-06-29 · מספר מכרז: 10/2026,אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת הכשרה והדרכה,אור עקיבא,אור עקיבא,https://namerz.moin.gov.il/showexternal/54969/1,2026-06-08,2026-06-29,משאבי אנוש,"רשות: אור עקיבא · מחוז: חיפה · יחידה: משאבי אנוש · תחום: משאבי אנוש · דירוג: דירוג המח''ר | דרגה 39 – 41 + / אפשרות לחוזה בכירים , 30% - 40% בכפוף לאישור משרד הפנים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-08 · מועד הגשה: 2026-06-29 · מספר מכרז: 25/2026",אקדמאית / חילופית בהתאם לחוק,
תובע עירוני,אור עקיבא,אור עקיבא,https://namerz.moin.gov.il/showexternal/54975/1,2026-06-08,2026-06-29,משפטי,רשות: אור עקיבא · מחוז: חיפה · יחידה: משפטי · תחום: משפטי · דירוג: דירוג משפטנים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-08 · מועד הגשה: 2026-06-29 · מספר מכרז: 49/2026,אקדמאית / חילופית בהתאם לחוק,
מדריך נוער רשותי,אור עקיבא,אור עקיבא,https://namerz.moin.gov.il/showexternal/54979/1,2026-06-08,2026-06-29,נוער תרבות וספורט,"רשות: אור עקיבא · מחוז: חיפה · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: דירוג: חינוך ונוער | דרגה: בהתאם להשכלה · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-08 · מועד הגשה: 2026-06-29 · מספר מכרז: 42/2026",12 שנות לימוד; בגרות,
מידען תכנוני,בני שמעון,בני שמעון,https://namerz.moin.gov.il/showexternal/55089/2,2026-06-10,2026-06-29,הנדסה,"רשות: בני שמעון · מחוז: דרום · יחידה: הנדסה · תחום: הנדסה · דירוג: הנדסאים · רמת השכלה: אדריכל / מהנדס, אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-29 · מספר מכרז: 1023",אדריכל / מהנדס; אקדמאית / חילופית בהתאם לחוק,
מנהל יחידה לפיתוח כלכלי ומיצוי משאבים ברשות,אור עקיבא,אור עקיבא,https://namerz.moin.gov.il/showexternal/55266/1,2026-06-08,2026-06-29,כספים,"רשות: אור עקיבא · מחוז: חיפה · יחידה: כספים כללי · תחום: כספים · דירוג: מח''ר  39 – 41+ / אפשרות לחוזה בכירים , 30% - 40% בכפוף לאישור משרד הפנים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-08 · מועד הגשה: 2026-06-29 · מספר מכרז: 5/2026",אקדמאית / חילופית בהתאם לחוק,
מדריך ראש צוות,דרום השרון,דרום השרון,https://namerz.moin.gov.il/showexternal/55274/1,2026-06-15,2026-06-29,רווחה,"רשות: דרום השרון · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: עו""סים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 12/2026",אקדמאית / חילופית בהתאם לחוק; קורסים נוספים כמפורט בקובץ,
מידען תכנוני,ראשון לציון,ראשון לציון,https://namerz.moin.gov.il/showexternal/55275/1,2026-06-15,2026-06-29,הנדסה,"רשות: ראשון לציון · מחוז: מרכז · יחידה: הנדסה · תחום: הנדסה · דירוג: העובד יועסק במתח דרגות 38-42 בדירוג המח""ר/מהנדסים או בדירוג 38-42 בדירוג ההנדסאים/טכנאים.                100% משרה (2 תקנים)                מועמד שיבחר לתפקיד ישובץ במערך החירום העירוני. · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 182.2026",אקדמאית / חילופית בהתאם לחוק,
מדריך מוגנות לתלמידים ונוער במצבי סיכון,ראשון לציון,ראשון לציון,https://namerz.moin.gov.il/showexternal/55276/1,2026-06-15,2026-06-29,נוער תרבות וספורט,"רשות: ראשון לציון · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: העובד יועסק בדירוג חינוך, חברה ונוער. מספר משרות  - בין 50 ל 100 אחוזי משרה                המועמד יועסק בהיקף משרה 50%-100% , עבודה בין 3-5,ימים בשבוע יום שני אחה""צ  עד השעה 19:00. בהתאם                להיקף  המשרה.  משרה פרוייקטאלית.                מועמד שייבחר ישובץ למערך החירום העירוני · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 130.2026",12 שנות לימוד,
מרכז נושא עבודה קהילתית,ראשון לציון,ראשון לציון,https://namerz.moin.gov.il/showexternal/55277/1,2026-06-15,2026-06-29,רווחה,"רשות: ראשון לציון · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: א.	העובד יועסק  בדרגות 38-40 בדרוג המח""ר או העסקה בדירוג חינוך חברה ונוער  מועמד שיבחר לתפקיד ישובץ במערך החירום העירוני. · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 134.2026",12 שנות לימוד; בגרות,
אחר,ראשון לציון,ראשון לציון,https://namerz.moin.gov.il/showexternal/55278/1,2026-06-15,2026-06-29,חינוך,"רשות: ראשון לציון · מחוז: מרכז · יחידה: חינוך · תחום: חינוך · דירוג: העובד יועסק בדרוג חינוך חברה קהילה ונוער - 50% משרה  , 4 ימים בשבוע . 100% משרה.  מועמד שייבחר ישובץ למערך החירום העירוני · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 137.2026",אקדמאית / חילופית בהתאם לחוק,
אחר,ראשון לציון,ראשון לציון,https://namerz.moin.gov.il/showexternal/55279/1,2026-06-15,2026-06-29,רווחה,"רשות: ראשון לציון · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: העובד יועסק בהתאם להסכמי השכר של העו""ס .          המועמד יועסק בהיקף של 50%-100% משרה נדרש יום עבודה אחד אחר הצהריים עד השעה 19.00          מועמד שייבחר לתפקיד ישובץ במערך החירום העירוני. · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 171.2026",אקדמאית / חילופית בהתאם לחוק,
אחר,ראשון לציון,ראשון לציון,https://namerz.moin.gov.il/showexternal/55280/1,2026-06-15,2026-06-29,רווחה,"רשות: ראשון לציון · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: העובד יועסק בדירוג עובדים סוציאליים ברמת ניהול 1 היקף משרה: מספר משרות בהיקף של 25%-100% יום אחד עבודה אחה""צ עד השעה 19:00 מועמד שייבחר ישובץ למערך החירום העירוני  מספר משרות · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 172.2026",אקדמאית / חילופית בהתאם לחוק,
מרכז נושא עבודה קהילתית,ראשון לציון,ראשון לציון,https://namerz.moin.gov.il/showexternal/55281/1,2026-06-15,2026-06-29,רווחה,"רשות: ראשון לציון · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: העובד יועסק במתח דרגות 8-10 בדירוג המינהלי או במתח דרגות 38-40 בדירוג המח""ר  המשרה הינה בהיקף של  50%-100% משרה. העבודה הינה 5 ימים בשבוע מתוכם 1 פיצול בימי שני בשעות הערב מועמד שייבחר למשרה ישובץ למערך החירום העירוני הערות: 1.	נדרשת השתתפות בימי עיון והשתלמויות. 2.	העבודה תלווה בהדרכה מקצועית ע""י צוות אגף הרווחה. · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 173.2026",אקדמאית / חילופית בהתאם לחוק,
עובד סוציאלי,ראשון לציון,ראשון לציון,https://namerz.moin.gov.il/showexternal/55283/1,2026-06-15,2026-06-29,רווחה,רשות: ראשון לציון · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: העובד יועסק בדירוג העובדים הסוציאליים.  היקף משרה 50% - 100% בהתאם לצורכי המערכת            מספר משרות           מועמד שייבחר ישובץ למערך החירום העירוני · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 178.2026,אקדמאית / חילופית בהתאם לחוק,
מזכיר משרד ברשות,לב השרון,לב השרון,https://namerz.moin.gov.il/showexternal/55289/1,2026-06-15,2026-06-29,ניהול כללי,רשות: לב השרון · מחוז: מרכז · יחידה: ניהול כללי · תחום: ניהול כללי · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 29/26,12 שנות לימוד,
מזכיר ראש הרשות,עמק יזרעאל,עמק יזרעאל,https://namerz.moin.gov.il/showexternal/55301/1,2026-06-15,2026-06-29,לשכות נבחרים,"רשות: עמק יזרעאל · מחוז: צפון · יחידה: לשכות · תחום: לשכות נבחרים · דירוג: מנהלי, 7-9 · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 66/2026",12 שנות לימוד; בגרות,
סגן מנהל אגף (חינוך),באר טוביה,באר טוביה,https://namerz.moin.gov.il/showexternal/55314/1,2026-06-15,2026-06-29,חינוך,"רשות: באר טוביה · מחוז: דרום · יחידה: חינוך · תחום: חינוך · דירוג: דרוג מנהלי מחלקות חינוך או חוזה אישי בכפוף למשרד הפנים. · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 29/2026",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
אחר,אורנית,אורנית,https://namerz.moin.gov.il/showexternal/55316/2,2026-06-15,2026-06-29,הנדסה,רשות: אורנית · מחוז: יהודה ושומרון · יחידה: הנדסה · תחום: הנדסה · דירוג: מינהלי · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 16/26,12 שנות לימוד,
אחר,ירוחם,ירוחם,https://namerz.moin.gov.il/showexternal/55321/4,2026-06-16,2026-06-29,רווחה,רשות: ירוחם · מחוז: דרום · יחידה: רווחה · תחום: רווחה · דירוג: בהתאם לטבלת שכר משרד הרווחה · רמת השכלה: השכלה תיכונית · תאריך פרסום: 2026-06-16 · מועד הגשה: 2026-06-29 · מספר מכרז: 22.26,השכלה תיכונית,
מדריך מוגנות לתלמידים ונוער במצבי סיכון,עמק יזרעאל,עמק יזרעאל,https://namerz.moin.gov.il/showexternal/55325/1,2026-06-15,2026-06-29,נוער תרבות וספורט,"רשות: עמק יזרעאל · מחוז: צפון · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: מנהלי, 7-9 / חינוך ונוער, דרגה בהתאם להשכלה · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 68/2026",12 שנות לימוד; בגרות,
מדריך מוגנות לתלמידים ונוער במצבי סיכון,עמק יזרעאל,עמק יזרעאל,https://namerz.moin.gov.il/showexternal/55326/1,2026-06-15,2026-06-29,נוער תרבות וספורט,"רשות: עמק יזרעאל · מחוז: צפון · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: מנהלי, 7-9 / חינוך ונוער, דרגה בהתאם להשכלה · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 69/2026",12 שנות לימוד; בגרות,
מדריך מוגנות לתלמידים ונוער במצבי סיכון,עמק יזרעאל,עמק יזרעאל,https://namerz.moin.gov.il/showexternal/55327/1,2026-06-15,2026-06-29,נוער תרבות וספורט,"רשות: עמק יזרעאל · מחוז: צפון · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: מנהלי, 7-9 / חינוך ונוער, דרגה בהתאם להשכלה · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 70/2026",12 שנות לימוד; בגרות,
מדריך מוגנות לתלמידים ונוער במצבי סיכון,עמק יזרעאל,עמק יזרעאל,https://namerz.moin.gov.il/showexternal/55329/1,2026-06-15,2026-06-29,נוער תרבות וספורט,"רשות: עמק יזרעאל · מחוז: צפון · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: מנהלי, 7-9 / חינוך ונוער, דרגה בהתאם להשכלה · רמת השכלה: 12 שנות לימוד, בגרות · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 71/2026",12 שנות לימוד; בגרות,
מנהל יחידת אחזקה ברשות המקומית,עמק יזרעאל,עמק יזרעאל,https://namerz.moin.gov.il/showexternal/55330/1,2026-06-15,2026-06-29,ניהול כללי,"רשות: עמק יזרעאל · מחוז: צפון · יחידה: ניהול כללי · תחום: ניהול כללי · דירוג: מינהלי 9-11 / מח""ר 39-41 / הנדסאים וטכנאים 39-41 / חוזה אישי (40% - 30% משכר מנכ""ל) - בכפוף לאישור משרד הפנים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 72/2026",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
בודק תכניות,משגב,משגב,https://namerz.moin.gov.il/showexternal/55353/1,2026-06-16,2026-06-29,הנדסה,"רשות: משגב · מחוז: צפון · יחידה: הנדסה · תחום: הנדסה · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-16 · מועד הגשה: 2026-06-29 · מספר מכרז: 65/26",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
עובד סוציאלי,ירוחם,ירוחם,https://namerz.moin.gov.il/showexternal/55355/2,2026-06-16,2026-06-29,רווחה,רשות: ירוחם · מחוז: דרום · יחידה: רווחה · תחום: רווחה · דירוג: דירוג העובד הסוציאלי ללא דירוג ניהול · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-16 · מועד הגשה: 2026-06-29 · מספר מכרז: 23.26,אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת חינוך,דרום השרון,דרום השרון,https://namerz.moin.gov.il/showexternal/54649/4,2026-06-01,2026-06-29,חינוך,"רשות: דרום השרון · מחוז: מרכז · יחידה: חינוך · תחום: חינוך · דירוג: מנהלי מחלקות חינוך · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-01 · מועד הגשה: 2026-06-29 · מספר מכרז: 10/2026",אקדמאית / חילופית בהתאם לחוק; קורסים נוספים כמפורט בקובץ,
אחר,נוף הגליל,נוף הגליל,https://namerz.moin.gov.il/showexternal/55310/1,2026-06-15,2026-06-29,חינוך,רשות: נוף הגליל · מחוז: צפון · יחידה: חינוך · תחום: חינוך · דירוג: חינוך ונוער בהתאם להשכלה · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 22/26,12 שנות לימוד,
אחר,ערד,ערד,https://namerz.moin.gov.il/showexternal/55115/1,2026-06-11,2026-06-29,רווחה,"רשות: ערד · מחוז: דרום · יחידה: רווחה · תחום: רווחה · דירוג: מנהלי/מח""ר · רמת השכלה: השכלה תיכונית · תאריך פרסום: 2026-06-11 · מועד הגשה: 2026-06-29 · מספר מכרז: 41/2026",השכלה תיכונית,
מנהל מדור (גנרי),ערד,ערד,https://namerz.moin.gov.il/showexternal/55116/1,2026-06-11,2026-06-29,ניהול כללי,רשות: ערד · מחוז: דרום · יחידה: ניהול כללי · תחום: ניהול כללי · דירוג: מהנדסים/הנדסאים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-11 · מועד הגשה: 2026-06-29 · מספר מכרז: 42/2026,אקדמאית / חילופית בהתאם לחוק,
רכז/ת מועדונית רשותי/ת,ערד,ערד,https://namerz.moin.gov.il/showexternal/55117/1,2026-06-11,2026-06-29,נוער תרבות וספורט,רשות: ערד · מחוז: דרום · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: חינוך ונוער · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-11 · מועד הגשה: 2026-06-29 · מספר מכרז: 43/2026,אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת נוער,פקיעין (בוקייעה),פקיעין (בוקייעה),https://namerz.moin.gov.il/showexternal/55213/2,2026-06-13,2026-06-29,נוער תרבות וספורט,"רשות: פקיעין (בוקייעה) · מחוז: צפון · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: חינוך , נוער וקהילה · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-13 · מועד הגשה: 2026-06-29 · מספר מכרז: 06.2026",אקדמאית / חילופית בהתאם לחוק,
אחר,שער הנגב,שער הנגב,https://namerz.moin.gov.il/showexternal/55245/1,2026-06-14,2026-06-29,ניהול כללי,"רשות: שער הנגב · מחוז: דרום · יחידה: ניהול כללי · תחום: ניהול כללי · רמת השכלה: 12 שנות לימוד, בגרות, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-14 · מועד הגשה: 2026-06-29 · מספר מכרז: 41/2026",12 שנות לימוד; בגרות; קורסים נוספים כמפורט בקובץ,
מנהל יחידת תיאום ובקרה,גני תקווה,גני תקווה,https://namerz.moin.gov.il/showexternal/55302/1,2026-06-15,2026-06-29,ניהול כללי,"רשות: גני תקווה · מחוז: מרכז · יחידה: ניהול כללי · תחום: ניהול כללי · דירוג: חוזה בכירים · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 45/2026",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
מזכיר משנה בבית ספר,גני תקווה,גני תקווה,https://namerz.moin.gov.il/showexternal/55304/1,2026-06-15,2026-06-29,חינוך,"רשות: גני תקווה · מחוז: מרכז · יחידה: חינוך · תחום: חינוך · דירוג: עפ""י הסכם קיבוצי · רמת השכלה: 12 שנות לימוד, אקדמאית / חילופית בהתאם לחוק, בגרות · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 46/2026",12 שנות לימוד; אקדמאית / חילופית בהתאם לחוק; בגרות,
פסיכולוג חינוכי,פרדס חנה-כרכור,פרדס חנה-כרכור,https://namerz.moin.gov.il/showexternal/55320/1,2026-06-15,2026-06-29,חינוך,"רשות: פרדס חנה-כרכור · מחוז: חיפה · יחידה: חינוך · תחום: חינוך · דירוג: פסיכולוגים/מח""ר · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-29 · מספר מכרז: 44/2026",אקדמאית / חילופית בהתאם לחוק,
קצין ביטחון מוסדות החינוך,באר יעקב,באר יעקב,https://namerz.moin.gov.il/showexternal/50945/13,2026-06-10,2026-06-30,חינוך,רשות: באר יעקב · מחוז: מרכז · יחידה: חינוך · תחום: חינוך · דירוג: מינהלי 7-9 · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-30 · מספר מכרז: 8/26,12 שנות לימוד,
אחר,באר יעקב,באר יעקב,https://namerz.moin.gov.il/showexternal/53436/6,2026-06-10,2026-06-30,חינוך,רשות: באר יעקב · מחוז: מרכז · יחידה: חינוך · תחום: חינוך · דירוג: חברה ונוער · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-30 · מספר מכרז: 22/26,12 שנות לימוד,
פקח מסייע (שיטור עירוני),כפר יונה,כפר יונה,https://namerz.moin.gov.il/showexternal/53840/7,2026-05-10,2026-06-30,חירום ובטחון,רשות: כפר יונה · מחוז: מרכז · יחידה: חירום וביטחון · תחום: חירום ובטחון · דירוג: אחיד · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-05-10 · מועד הגשה: 2026-06-30 · מספר מכרז: 511/26,12 שנות לימוד,
מוקדן נציג שירות,כפר יונה,כפר יונה,https://namerz.moin.gov.il/showexternal/53845/7,2026-05-10,2026-06-30,ניהול כללי,רשות: כפר יונה · מחוז: מרכז · יחידה: ניהול כללי · תחום: ניהול כללי · דירוג: אחיד · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-05-10 · מועד הגשה: 2026-06-30 · מספר מכרז: 512/2026,12 שנות לימוד,
"מנהל מרכז השכלה רשותי (היל""ה)",באר יעקב,באר יעקב,https://namerz.moin.gov.il/showexternal/54164/6,2026-06-10,2026-06-30,נוער תרבות וספורט,רשות: באר יעקב · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: חברה ונוער · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-30 · מספר מכרז: 24/26,אקדמאית / חילופית בהתאם לחוק,
רכז יעוץ לאזרח,כפר יונה,כפר יונה,https://namerz.moin.gov.il/showexternal/54290/3,2026-02-22,2026-06-30,רווחה,רשות: כפר יונה · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: 37-39 · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-02-22 · מועד הגשה: 2026-06-30 · מספר מכרז: 502/26,אקדמאית / חילופית בהתאם לחוק,
אחר,באר יעקב,באר יעקב,https://namerz.moin.gov.il/showexternal/55057/2,2026-06-10,2026-06-30,ניהול כללי,רשות: באר יעקב · מחוז: מרכז · יחידה: ניהול כללי · תחום: ניהול כללי · דירוג: מינהלי · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-30 · מספר מכרז: 23/26,12 שנות לימוד,
אחר,באר יעקב,באר יעקב,https://namerz.moin.gov.il/showexternal/55058/2,2026-06-10,2026-06-30,נוער תרבות וספורט,רשות: באר יעקב · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: מינהלי · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-30 · מספר מכרז: 27/26,12 שנות לימוד,
מנהל המחלקה לחינוך ילדים ונוער בסיכון ברשות המקומית,באר יעקב,באר יעקב,https://namerz.moin.gov.il/showexternal/55060/2,2026-06-10,2026-06-30,נוער תרבות וספורט,רשות: באר יעקב · מחוז: מרכז · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · דירוג: חברה ונוער · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-10 · מועד הגשה: 2026-06-30 · מספר מכרז: 32/26,אקדמאית / חילופית בהתאם לחוק,
תומכת חינוך לתלמיד הזכאי לשירותי חינוך מיוחדים הלומד בגן או בכיתה,אפרתה,אפרתה,https://namerz.moin.gov.il/showexternal/55221/1,2026-06-14,2026-06-30,חינוך,רשות: אפרתה · מחוז: יהודה ושומרון · יחידה: חינוך · תחום: חינוך · דירוג: תומכות חינוך · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-14 · מועד הגשה: 2026-06-30 · מספר מכרז: 00/26,12 שנות לימוד,
עובד סוציאלי,כפר יונה,כפר יונה,https://namerz.moin.gov.il/showexternal/55222/1,2025-11-18,2026-06-30,רווחה,"רשות: כפר יונה · מחוז: מרכז · יחידה: רווחה · תחום: רווחה · דירוג: עו""ס · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2025-11-18 · מועד הגשה: 2026-06-30 · מספר מכרז: 486/26",אקדמאית / חילופית בהתאם לחוק,
תומכת חינוך לתלמיד הזכאי לשירותי חינוך מיוחדים הלומד בגן או בכיתה,אפרתה,אפרתה,https://namerz.moin.gov.il/showexternal/55223/1,2026-06-14,2026-06-30,חינוך,רשות: אפרתה · מחוז: יהודה ושומרון · יחידה: חינוך · תחום: חינוך · דירוג: תומכות חינוך · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-14 · מועד הגשה: 2026-06-30 · מספר מכרז: 00/26,12 שנות לימוד,
אב בית איש תחזוקה בבית הספר,להבים,להבים,https://namerz.moin.gov.il/showexternal/55229/2,2026-06-15,2026-06-30,חינוך,רשות: להבים · מחוז: דרום · יחידה: חינוך · תחום: חינוך · דירוג: מינהלי · רמת השכלה: 12 שנות לימוד · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-30 · מספר מכרז: 7/2026,12 שנות לימוד,
מנהל יישובי למאבק באלימות סמים ואלכוהול,להבים,להבים,https://namerz.moin.gov.il/showexternal/55234/2,2026-06-15,2026-06-30,תוכניות לאומיות,"רשות: להבים · מחוז: דרום · יחידה: תוכניות לאומיות · תחום: תוכניות לאומיות · דירוג: מח""ר · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-15 · מועד הגשה: 2026-06-30 · מספר מכרז: 6/2026",אקדמאית / חילופית בהתאם לחוק,
