title,company,location,date,url,department,workplace_type,description,source
מנהל/ת לקוחות לאזור דרום,Osem-Nestlé,Beer Sheva,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/404797,מכירות,fulltime,"אסם נסטלה פרופשיונאל, החטיבה המקצועית של קבוצת אסם, מחפשת מנהל/ת לקוחות לאזור באר שבע והסביבה עם רעב להצלחה, מוטיבציה ויכולת לזהות ולמקסם הזדמנויות.
אם יש לך דרייב אמיתי למכירות, יכולת לבנות קשרים מעולים עם לקוחות, ותשוקה לסגירת עסקאות בשטח, אנחנו רוצים אותך איתנו!
מה התפקיד כולל?
עמידה ביעדים והובלת מכירות בהתאם לדרישות עסקיות
ניהול סחר מול הלקוחות בהתאם למדיניות
זיהוי הזדמנויות למוצרים חדשים והגדלת נפח הפעילות
איתור וגיוס לקוחות חדשים בשטח
בנייה וטיפוח קשרים ארוכי טווח עם לקוחות
ממשק עבודה צמוד עם נציגת מכירות טלפוני: להבטיח קיום ביצוע הזמנות, טיפול שוטף מול הלקוח
שיתוף פעולה עם צוות המכירות
ניהול תהליך הגבייה מלקוחות לרבות גביית כסף, אובליגו לקוח, גיול חובות, ימי אשראי וביטחונות
דרישות התפקיד:
ניסיון של 3+ שנים במכירות שטח – עדיפות מתחום המזון/קולינריה
יכולת ניהול משא ומתן ושכנוע ברמה גבוהה
רישיון נהיגה בתוקף
שליטה ביישומי מחשב לניהול ואוריינטציה דיגיטלית
תואר ראשון יתרון",osem
סטודנט/ית למעבדה הסנסורית,Osem-Nestlé,Sderot,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/404783,טכנולוגיה ואיכות,fulltime,"מפעל אסם נסטלה שדרות מגייס סטודנט/ית למעבדה הסנסורית
במסגרת התפקיד:
קבלה וקליטה של חומרי גלם עבודה על מחשב- תיעוד, איסוף, דוחות
איסוף וניתוח חומרי אנליזה
עזרה בביצוע עבודות תומכות במעבדה (בדיקות שקילה, בדיקות ריח וכדומה)
התרעה על חריגות ואי התאמות למנהלת המעבדה.
תיוק וכל עבודה אדמיניסטרטיבית אחרת שתדרש במעבדה
דרישות התפקיד
סטודנט/ית להנדסה כימית/ביוטכנולוגיה/ביולוגיה/מזון- חובה.
יישומי OFFICE ברמה גבוהה
יסודיות, חריצות ודיוק
זמינות לעבודה 3 ימים בשבוע
הגעה עצמאית",osem
מהנדס/ת תהליך טבעול צבר,Osem-Nestlé,Kiryat Gat,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/404037,הנדסה,fulltime,"מפעל צבר טבעול מגייס מהנדס/ת תהליך צבר טבעול לתפקיד שכולל
תכנון וביצוע פרויקטים תהליכיים לצורך שיפור וייעול טיפול ופתרון בעיות טכניות בתהליך הייצור הדרכה טכנית לעובדים ומנהלים ולידציה של ציוד ותהליכים חדשים ניהול תהליכי CIP – אופטימיזציה, ולידציה והטמעה ביצוע משימות הנדסיות שונות
דרישות התפקיד : תואר בהנדסה כימית / הנדסת מכונות - חובה ניסיון בתעשיית המזון / הפארמה / תעשייה תהליכית אחרת - חובה ידע וניסיון בעבודה עם מערכות בקרה HMI ידע וניסיון בקריאה ובהכנת שרטוטי תהליך P&ID שליטה טובה באנגלית
המפעל בקרית גת, נדרשת הגעה עצמאית",osem
סטודנט/ית לשיווק לחטיבת המאפה,Osem-Nestlé,Hevel Modiin,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/403775,שיווק,fulltime,"קבוצת אסם נסטלה מגייסת סטודנט/ית לשיווק לחטיבת המאפה!תמיכה לוגיסטית ותפעולית במהלכים שיווקיים ופעילות שיווק שוטפת
תמיכה בפעילויות של השקת מוצר
ניתוחי שוק, היכרות עם המתחרים וניתוח מבצעים
מעקב אחר חומרי שיווק שונים באנגלית ותרגומים לשוק המקומי
עבודה מול יחידות שונות באסם
דרישות התפקיד
סטודנט/ית בתחומי השיווק שנה ג' ומעלה - חובה
סטודנט/ית לתואר שני- יתרון משמעותי
ניסיון קודם בעולמות השיווק - יתרון
אנגלית ברמה גבוהה (כתיבה ודיבור)
אקסל ברמה טובה מאוד, יכולות אנליטיות
זמינות לעבודה לפחות 3 פעמים בשבוע
נכונות למשרה זמנית
המשרה באזור תעשיה חבל מודיעין, שוהם. נדרשת הגעה עצמאית",osem
מאמנ.ת קפה ואפייה מקצועי משרת שטח באזור הדרום,Osem-Nestlé,Hevel Modiin,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/403877,מכירות,fulltime,"קפה ומאפה מעוררים לכם.ן את החושים? אסם נסטלה פרופשיונל מגייסת מאמנ/ת קפה ואפייה מקצועי לאזור באר שבע, אילת וים המלח. התפקיד כולל ביצוע הדרכות בריסטה ואפייה מקצועיות ללקוחות. גיוס לקוחות חדשים לצד תמיכה וליווי בלקוחות קיימים. הטמעת שיטות עבודה בנק' האפייה והקפה. עמידה ביעדי-מכירות והעמקת המכירות עפ""י יעדי החברה. ניהול לו""ז ויכולת חלוקת זמן בין הלקוחות והקטגוריות השונות. דרישות התפקיד ניסיון קודם בעולמות הקפה כולל הבנה בתערובות קפה, ציוד (מכונות קפה, מטחנות וכו) ועבודת הבריסטה – חובה. ניסיון קודם באפייה/קונדיטוריה או בעולם המזון בתפקיד דומה – חובה ניסיון בעבודת מכירות שטח ושירות לקוחות – חובה רישיון נהיגה בתוקף – חובה ידע טכני בסיסי בציודים (מכונות קפה ותנורי אפיה) כגון כיוון תוכניות אפייה, טיפול ראשוני בתפריטי מכונות קפה וכיוון ומטחנות. זמינות לטיפול בבעיות דחופות בימי שישי וערבי חג בהתאם לצורך משרה באזור הדרום מגורים בבאר שבע והסביבה נכונות  לנסיעה פעם בשבוע לאילת",osem
סטודנט/ית למחלקת הבטחת איכות למפעל הבמבה,Osem-Nestlé,Kiryat Gat,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/403700,טכנולוגיה ואיכות,fulltime,"מפעל אסם קרית גת מגייס סטודנט/ית למחלקת הבטחת איכות
במסגרת התפקיד:
דיגום מיקרו ברחבי המפעל כחלק מתוכנית בטיחות מזון מפעלית.
ניהול תוכניות המעקב המפעליות שמטרתן אימות ביצוע ויישום תוכניות ערכים תזונתיים ומבדקים פנימיים.
תמיכה בניהול מערכות איכות- תיקוף הוראות עבודה וסטנדרטים.
תמיכה בביצוע מבדקים בקווים בהתאם לתוכנית שנתית + תקשור פערים
ניתוח דוחות ומגמות לשיפור המוכנות היומיומית
סיוע בנושאים שוטפים רלוונטים למחלקה
דרישות התפקיד
סטודנט/ית להנדסה כימית/ביוטכנולוגיה/ביולוגיה/מזון- חובה.
זמינות לעבודה 3 ימים בשבוע
שליטה ביישומי OFFICE
אנגלית ברמה טובה
המפעל נמצא בקרית גת, נדרשת הגעה עצמאית",osem
מאמנ.ת אפייה באזור הדרום,Osem-Nestlé,Hevel Modiin,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/403686,מכירות,fulltime,"קבוצת אסם סחר מגייסת מאמנ.ת אפייה לתפקיד שטח באזור הדרום
שכולל
הובלת תהליכי הדרכה, מכירה ותמיכה מקצועית באפייה, תוך שמירה על איכות המוצרים
הדרכת אופים בנקודות מכירה על אפייה, התפחה, תכנון סדרי עבודה ושיטות עבודה תקניות.
חניכה וליווי מקצועי ללקוחות קיימים וחדשים.
הבטחת איכות המאפים בתהליך ההכנה והאפייה.
ניהול תפעולי בנקודות מכירה , מענה לבעיות בשטח, כולל תקלות טכניות בסיסיות בציוד אפייה.
עמידה ביעדים והגדלת מגוון המוצרים.
דרישות התפקיד
ניסיון קודם באפייה/קונדיטוריה  – חובה
תודעת שירות גבוהה ויחסי אנוש טובים
זיקה לעבודה בסביבה טכנולוגית
ניסיון בעבודת מכירות שטח ושירות לקוחות – יתרון
כישורי הדרכה, לימוד וחניכה של לקוחות בנושא אפיה
רישיון נהיגה בתוקף – חובה
משרת שטח באזור הדרום",osem
מדריך/ה מרכז מבקרים במבה,Osem-Nestlé,Kiryat Gat,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/402646,שיווק,fulltime,"מרכז המבקרים של מפעל במבה מקבוצת אסם נסטלה מחפש מדריך/ה!
הדרכת סיורי קבוצות מבקרים בשכבות גיל מגוונות
הפעלת בובה בתחפושת של תינוק הבמבה
עבודה אדמיניסטרטיבית על פי הצורך
גבייה בחנות המזכרות
פריקת סחורה וסידור החנות הכנת מארזים אחריות על נראות וניקיון האביזרים והסביבה במרכז המבקרים דרישות התפקיד
ניסיון בהדרכה (קייטנות, תנועת נוער, צבא) – יתרון!
יכולת עמידה מול קהל, אנרגטיות
הכרת תוכנות ה- OFFICE
עבודה במשמרות: 08:30-14:30 /  14:30-20:30
זמינות ל3/4 ימים בשבוע
מינימום שתי משמרות ערב בשבוע
יום שישי – לסרוגין
העבודה במפעל במבה בקרית גת (נדרשת הגעה עצמאית)",osem
יועצ/ת תזונה למרכז ליעוץ תזונתי של חברת מטרנה אסם נסטלה,Osem-Nestlé,Maabarot,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/402302,טכנולוגיה ואיכות,fulltime,"המרכז לייעוץ תזונתי של חברת מטרנה מגייס יועצ/ת תזונה לתפקיד שכולל: מתן מענה מקצועי בנושאים שונים ללקוחות בנושאי תזונה, ייעוץ ומידע כללי יכולת הבנה של צורכי הלקוחות מציאת פתרונות יצירתיים תוך שמירה על ערכי החברה השתתפות בכנסים מקצועיים דרישות התפקיד דיאטנ/ית בעל/ת תואר ראשון בתזונה – חובה ניסיון בתפקיד דומה- יתרון שליטה מלאה ב- OFFICE חובה נכונות למשרה מלאה, 8:00- 17:00 העבודה בסמוך לבית הלוי, נדרשת הגעה עצמאית",osem
סטודנט/ית לשיווק לקבוצת אסם סחר,Osem-Nestlé,Hevel Modiin,2026-06-22,https://www.osem-nestle.co.il/career/open-positions/402158,שיווק,fulltime,"סטודנט/ית לשיווק לקבוצת אסם סחר
קבוצת אסם סחר מגייסת סטודנט/ית לתפקיד מרתק ומעשיר
במסגרת התפקיד
היכרות עם מערכות חיצוניות המשקפות את מצב שוק המזון
ריכוז נתונים למצגות שיווקיות אסטרטגיות
ניתוחים שוטפים להבנת זירת התחרות והפעילות המסחרית לפי קטגוריות
שליפה וריכוז נתונים ממערכות פנימיות וחיצוניות
בניית דו""חות BI עלפי דרישה
לקיחת חלק בניתוח מחקרי שוק וזיהוי מגמות וטרנדים
פרוייקטים שוטפים על פי דרישה
דרישות התפקיד
השכלה אקדמאית רלוונטית (מנהל עסקים, שיווק, כלכלה )
אוריינטציה שיווקית וזיקה לעולמות ה- AI
יכולת אנליטית
אנגלית ברמה טובה.
OFFICE ברמה גבוהה
היכרות מוקדמת עם PBI - יתרון
המשרה באזור תעשיה חבל מודיעין, שוהם- נדרשת הגעה עצמאית",osem
