title,company,location,date,url,department,workplace_type,position_type
מהנדסת או מהנדס תקשוב,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=25011004,מערך מחשוב ומערכות מידע,onsite,
"רכז/ת שיווק קשרי נוער, תיכונים וצבא",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=25517072,יחידת השיווק,onsite,
רכז/ת שיווק וקמפיינים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=25550031,יחידת השיווק,onsite,
מומחה/ית מולטימדיה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=26814002,המרכז לקידום הלמידה וההוראה,onsite,
רכז/ת תשתיות ארגוניות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=27911001,מערך מחשוב ומערכות מידע,onsite,
מיישמ/ת מערכות מידע לתחום מנהל תלמידים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=27911007,מערך מחשוב ומערכות מידע,onsite,
מיישם/ת SAP HR,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-30,https://hr.technion.ac.il/positions/?jobid=27911009,מערך מחשוב ומערכות מידע,onsite,
תומכ/ת מערכות SAP ומערכות מידע ארגוניות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-23,https://hr.technion.ac.il/positions/?jobid=27911017,מערך מחשוב ומערכות מידע,onsite,
מנהלת או מנהל אגף תשתיות ותפעול,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=27911043,מערך מחשוב ומערכות מידע,onsite,
ראש אגף אבטחת מידע וסייבר טכניוני,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=27911048,מערך מחשוב ומערכות מידע,onsite,
מפתח/ת DATAWAREHOUSE,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=27914005,מערך מחשוב ומערכות מידע,onsite,
מנהל/ת מערכות גיבויים ושרידות עסקית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=27914024,מערך מחשוב ומערכות מידע,onsite,
מהנדס/ת מעבדה למעבדות הוראה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=29910081,היוזמה לבריאות האדם,onsite,
מהנדס/ת מעבדה במערכות מרובות רובוטים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=49302050,הפקולטה להנדסת חשמל ומחשבים,onsite,
עובד/ת אחזקה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-06-06,https://hr.technion.ac.il/positions/?jobid=50067498,הפקולטה לרפואה,onsite,
