title,company,location,date,deadline,url,department,workplace_type,position_type
רכז/ת פקולטית לענייני סטודנטים-מזכירות הפקולטה-הפקולטה למדעי המחשב והמידע (מס' 2026 - 188),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-23,2026-06-29,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
עובד/ת בית מלאכה-בית מלאכה פקולטי-הפקולטה למדעי ההנדסה (מס' 2026 - 177),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-22,2026-06-28,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
"מנהל/ת פרויקטים-מחלקת בינוי חדש-אגף תכנון, בינוי ואחזקה (מס' 2026 - 151)",אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-21,2026-06-23,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
אחראי/ת מבנים -מזכירות המכונים- המכונים לחקר המדבר (מס' 2026 - 185),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-22,2026-06-28,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
מהנדס/ת מעבדות הוראה ומחקר-מכון שוויץ לחקר אנרגיה וסביבות צחיחות-המכונים לחקר המדבר (מס' 2026 - 156),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-23,2026-06-29,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
מהנדס/ת מעבדות הוראה ומחקר-בית הספר להנדסת חשמל ומחשבים-הפקולטה למדעי ההנדסה (מס' 2026 - 154),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-23,2026-06-29,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
