title,company,city,url,date,deadline,department,workplace_type,description,requirements
"למשען, רשת בתי דיור מוגן הגדולה והמובילה בישראל, דרוש/ה מוקדן/ית לבית הדיור המוגן משען ""פיכמן"" בתל אביב.",BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"משרה חלקית
משען",
למחלקה לניהול דרוש/ה איש/אשת תמיכה טכנית,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
המחלקה לניהול",
נציג/ה פיננסי/ת - מוקד אישורים וחסימות,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.max.co.il/jobs/lobby?sourceGA=Footer,2026-06-07,,,parttime,"משמרות
MAX",
דרושים/ות מדריכים/ות למסגרות של בעלי מוגבלויות ברחבי הארץ!,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"משרה חלקית, משמרות
בית אקשטיין",
דרוש/ה נציג/ת שירות לקוחות לתכנית לנוער מוכשר במתמטיקה,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"משמרות
המרכז הישראלי לקידום מדעי המתמטיקה",
לפקולטה מדעי החיים באוניברסיטת בר אילן דרוש/ה סטודנט/ית לעבודה משרדית שוטפת.,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"גמישה/חלקית
הפקולטה למדעי החיים",
משרת תחקור ופענוח נתונים,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,onsite,"משרה מלאה
פריזמה",
"בדיור מוגן ""צפריר"" מגייסים לעבודה משמעותית עם מתמודדי נפש",BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,onsite,"משרת סטודנט
מרפא לנפש",
Corporate Financeמשרת אנליסט/ית,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,onsite,"משרה מלאה
beta finance",
דרוש/ה רכז/ת תאים ומועדונים,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
אגודה בר אילן",
דרוש/ה סטודנט/ית מנהל/ת פרויקטים,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"משרה חלקית
עמותת נולדת לנצח",
דרוש/ה רכז/ת הפקות,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
אגודה בר אילן",
דרוש/ה מוקדן/ית למשען ברודצקי,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"משרה חלקית/ משרה מלאה
משען",
דרוש עובד/ת לתפקיד מנהל מרכז נוער במינהל קהילה משרה במילוי מקום לתקופה זמנית,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.rishonlezion.muni.il/Activities/Tenders/Lists/List1/CustomDispForm.aspx?ID=1833 ,2026-06-21,,,onsite,"משרה זמנית
מינהל קהילת ראשון לציון",
דרושים.ות מדריכים.ות להוסטלים ופנימיות לאוכלוסיות מגוונות באזור מרכז הארץ,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
קבוצת רמות",
"למילוי מקום לחופשת לידה, דרוש/ה סטודנט/ית לתואר שני לתפקיד ראש/ת לשכה למנהל רשות המחקר באוניברסיטת בר-אילן.",BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
בר אילן",
דרוש/ה רכז/ת התנדבות ומלגות,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
אגודה בר אילן",
רכז תוכניות ופרויקטים באגף לפיתוח מערך קהילה וקידום עסקים,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.rishonlezion.muni.il/Activities/Tenders/Lists/List1/CustomDispForm.aspx?ID=1888 ,2026-06-21,,,onsite,"משרה מלאה
מינהל קהילת ראשון לציון",
דרוש רכז/ת לימודים,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
​",
קול קורא לרכז.ת לימודים,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
אגודה בר אילן",
קול קורא לרכז.ת מעונות ואוכלוסייה,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,onsite,"רכז מעונות
אגודה בר אילן",
דרוש/ה רכז/ת תגלית ומשלחות,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
אגודה בר אילן",
"חונך/ת בגישת ""אח בוגר"" לזמן כיף והעשרה עם ילד בן 10 ברמת גן",BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"משרה חלקית
​",
טרום מתמחה למחלקה המשפטית 50% - פתח תקווה,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"משרה חלקית
שטראוס",
"ל""שרן רפואה עד הבית"" דרוש/ה נציג/ת שירות למוקד רפואי",BIS - אגודת סטודנטים בר-אילן,רמת גן,https://tinyurl.com/ymh9es6g?latest,2026-06-07,,,parttime,"משמרות
שרן רפואה עד הבית",
דרוש/ה עובד/ת דלפק בימי שלישי וחמישי,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
אגודה בר אילן",
"לחברה המשווקת אביזרים ומוצרים רפואיים הממוקמת בפ""ת",BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"משרה חלקית
​",
למטה החברה דרוש/ה כלכלן/נית כספים לארגון הגזברות,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://tinyurl.com/25zz8vh6?latest,2026-06-07,,,onsite,"משרה מלאה
​",
"Graduate trainee: Media relations, Brand and CSR Assistant",BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,onsite,"משרה מלאה
samsung electronics",
"דרושים מדריכי/ות חוגים לילדים באיזור השרון ופתח תקווההעבודה בשעות אחה”צ, משרה חלקית - מעולה לסטודנטים ועצמאים!",BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"חלקית
​",
תפקיד:מזכיר/ה למערך האמבולטורי,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://jobs.clalitapps.co.il/clalit/redmatch-apply/redmatch.apply.html?compPositionID=48036 ,2026-06-21,,,onsite,"משרה זמנית
מרכז לבריאות הנפש גהה",
דרושים/ות עוזרי/ות הוראה למסגרות של בעלי מוגבלויות ברחבי הארץ!,BIS - אגודת סטודנטים בר-אילן,רמת גן,https://www.bis.org.il/jobs,2026-06-07,,,parttime,"משרה חלקית, משמרות
בית אקשטיין",
