title,company,location,date,deadline,url,department,workplace_type,position_type
מנהל/ת פרויקטים-מחלקת בינוי קיים-אגף תכנון בינוי ואחזקה (מס' 2026 - 193),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-27,2026-07-02,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
מהנדס/ת מעבדות הוראה ומחקר--המכון לחקלאות וביוטכנולוגיה של אזורים צחיחים-המכונים לחקר המדבר (מס' 2026 - 191),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-27,2026-06-30,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
