title,company,location,date,url,department,workplace_type,level,source,position_type
מהנדס.ת אלגוריתמים ועיבוד אותות- RAFAEL,Gav Yam Negev logo,ירושלים,2026-06-25,https://hujicareer.co.il/jobs/%d7%9e%d7%94%d7%a0%d7%93%d7%a1-%d7%aa-%d7%90%d7%9c%d7%92%d7%95%d7%a8%d7%99%d7%aa%d7%9e%d7%99%d7%9d-%d7%95%d7%a2%d7%99%d7%91%d7%95%d7%93-%d7%90%d7%95%d7%aa%d7%95%d7%aa-rafael/,,onsite,junior,huji,
מהנדס.ת תוכנה מנוסה- RAFAEL,Gav Yam Negev logo,ירושלים,2026-06-25,https://hujicareer.co.il/jobs/%d7%9e%d7%94%d7%a0%d7%93%d7%a1-%d7%aa-%d7%aa%d7%95%d7%9b%d7%a0%d7%94-%d7%9e%d7%a0%d7%95%d7%a1%d7%94-rafael/,,onsite,junior,huji,
Junior IT Support (Part time/hourly),לוגו- OurCrowd,ירושלים,2026-06-25,https://hujicareer.co.il/jobs/junior-it-support-part-time-hourly/,,onsite,junior,huji,part_time
להנהלת בתי המשפט דרוש/ה ראש/ת תחום מוסמך/ת מתודולוגיות סייבר,1716205201_011a140583e640002112,ירושלים,2026-06-25,https://hujicareer.co.il/jobs/%d7%9c%d7%94%d7%a0%d7%94%d7%9c%d7%aa-%d7%91%d7%aa%d7%99-%d7%94%d7%9e%d7%a9%d7%a4%d7%98-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a8%d7%90%d7%a9-%d7%aa-%d7%aa%d7%97%d7%95%d7%9d-%d7%9e%d7%95%d7%a1%d7%9e%d7%9a/,,onsite,junior,huji,
Financial Banking Advisory,לוגו KMPG,תל אביב,2026-06-25,https://hujicareer.co.il/jobs/financial-banking-advisory/,,onsite,junior,huji,
דרוש/ה סטודנט/ית ללשכה המשפטית במוסד לביטוח לאומי בירושלים,ביטוח-לאומי-2,ירושלים,2026-06-24,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%9c%d7%a9%d7%9b%d7%94-%d7%94%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%aa-%d7%91%d7%9e%d7%95%d7%a1%d7%93-%d7%9c%d7%91/,,onsite,junior,huji,
"לתוכנית ""ניצוץ"" בירושלים דרוש/ה מלווה",jerusalem,ירושלים,2026-06-24,https://hujicareer.co.il/jobs/%d7%9c%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%aa-%d7%a0%d7%99%d7%a6%d7%95%d7%a5-%d7%91%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%9c%d7%95%d7%95%d7%94/,,onsite,junior,huji,
לרשות להגנת הצרכן ולסחר הוגן דרוש/ה סטודנט/ית מחלקת דוברות,רשות-להגנת-הצרכן,ירושלים,2026-06-24,https://hujicareer.co.il/jobs/%d7%9c%d7%a8%d7%a9%d7%95%d7%aa-%d7%9c%d7%94%d7%92%d7%a0%d7%aa-%d7%94%d7%a6%d7%a8%d7%9b%d7%9f-%d7%95%d7%9c%d7%a1%d7%97%d7%a8-%d7%94%d7%95%d7%92%d7%9f-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98-5/,,onsite,junior,huji,
דרוש/ה רכז/ת תכנית HUB,HUJI Career,ירושלים,2026-06-24,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a8%d7%9b%d7%96-%d7%aa-%d7%aa%d7%9b%d7%a0%d7%99%d7%aa-hub/,,onsite,junior,huji,
"דרוש/ה מדריכ/ה חברתי/ת ליחידה לחיים סטודנטיאליים בביה""ס לתלמידים מחו""ל",HUJI Career,ירושלים,2026-06-24,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%93%d7%a8%d7%99%d7%9b-%d7%94-%d7%97%d7%91%d7%a8%d7%aa%d7%99-%d7%aa-%d7%9c%d7%99%d7%97%d7%99%d7%93%d7%94-%d7%9c%d7%97%d7%99%d7%99%d7%9d-%d7%a1%d7%98%d7%95%d7%93/,,onsite,junior,huji,
