title,company,location,date,url,department,workplace_type
תומך/ת IT,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=20617001,הפקולטה לכימיה,onsite
מנהל/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=20811006,הפקולטה להנדסת ביוטכנולוגיה ומזון,onsite
מהנדס/ת מעבדת מחקר,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=20814012,הפקולטה להנדסת ביוטכנולוגיה ומזון,onsite
מהנדס/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=20914015,הפקולטה לפיזיקה,onsite
רכז/ת מנהלית לתארים מתקדמים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=21917001,הפקולטה למדעי הנתונים וההחלטות,onsite
רכז/ת במדור מלגות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=22617005,"ביה""ס לתארים מתקדמים",onsite
מהנדס/ת מעבדת מחקר והוראה לאנטומיה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=22713002,הפקולטה לרפואה,onsite
"מהנדס/ת מעבדה- משרה זמנית להחלפה לחל""ד",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=22713012,הפקולטה לרפואה,onsite
רכז/ת רכש ולוגיסטיקה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=22713061,הפקולטה לרפואה,onsite
מהנדס/ת מעבדה חישובית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=22717009,הפקולטה לרפואה,onsite
רכז/ת הוראה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=22717011,הפקולטה לרפואה,onsite
מהנדס/ת הדמיה פרה-קלינית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=22720052,הפקולטה לרפואה,onsite
מנהל/ת מערך הספריות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=22916001,הספריה המרכזית,onsite
רכז/ת שימור והנגשת אוספים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=22916055,הספריה המרכזית,onsite
עובדת או עובד אחזקה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=22950016,הספריה המרכזית,onsite
מנהל/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=23217002,המכון למצב מוצק,onsite
מנהל/ת מעבדה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=23414023,הפקולטה לביולוגיה,onsite
