title,company,location,date,deadline,url,department,workplace_type,position_type
רכז/ת- המרכז ללימודי חוץ -מרכז האוניברסיטאי ללימודי חוץ (מס' 2026 - 183),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-17,2026-06-18,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
ממונה על ההוצאה לאור-ההוצאה לאור-מכון בן-גוריון לחקר ישראל והציונות (מס' 2026 - 182),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-17,2026-06-18,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
"מנהל/ת פרויקטים-מחלקת בינוי חדש-אגף תכנון, בינוי ואחזקה (מס' 2026 - 151)",אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-17,2026-06-23,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
אחראי/ת רשתות ומשאבים (AD) וסביבות ענן-מדור תשתיות מחשוב מנהליות-המחלקה לתשתיות IT ושירות-אגף המחשוב והסייבר (מס' 2026 - 171),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-06-17,2026-06-22,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,
