title,company,department,location,url,date,description
נציג/ת שירות טלפוני,"רמב""ם",,Haifa,https://www.rambam.org.il/about-rambam/careers/,2026-05-24,"תיאור התפקיד מתן מענה והכוונה למטופלים ובני משפחותיהם במגוון פלטפורמות, בכתב ובעל פה תיאום וזימון תורים במערכות רפואיות מתקדמות וחדשניות ממשקים פנים וחוץ ארגוניים השתלבות בצוות מגובש ומקצועי שפועל בכל יום כדי לשפר את חוויית המטופל ולהעניק מענה אנושי, רגיש ומקצועי סביבת עבודה מכילה ותומכת, הון אנושי מצוין, תחושת שליחות ועבודה עם משמעות"
עורך/ת מכרזים והתקשרויות,"רמב""ם",,Haifa,https://tinyurl.com/2awcfbnd?latest,2026-05-24,"תיאור התפקיד אחריות וביצוע הליכי מכרז ועריכת חוזים איסוף צרכים, תוך הבנה עסקית, וכתיבת מסמכים ביצוע מו""מ מורכב השתלבות בצוות מגוון ומקצועי בתפקיד מאתגר ובעל אחריות רבה דרישות התפקיד תואר ראשון בכלכלה/מנהל עסקים/תעשיה וניהול תואר ראשון נוסף בתחום רלוונטי - יתרון ניסיון קודם בעריכת מכרזים/חוזים/רגולציה היכרות ועבודה על פי חוק חובת המכרזים ותקנותיו - יתרון ניסיון קודם בניהול מו""מ מורכבים ניסיון קודם בעבודה עם ספקים אסטרטרגים כישורים נוספים ראייה עסקית ומערכתית יכולת עבודה במערכות מורכבות אסרטיביות ויכולת הובלת מו""מ יכולת עבודה אינטגרטיבית עם ממשקים מרובים יכולת תעדוף ועבודה על מספר משימות במקביל כישורים בינאישיים גבוהים גישה שירותית להגשת מועמדות למשרה * רק פניות מתאימות ייענו"
סטודנט/ית למשאבי אנוש,"רמב""ם",,Haifa,https://tinyurl.com/27ck6t7j?latest,2026-05-24,"תיאור התפקיד סיוע למחלקות השונות באגף משאבי אנוש עבודה משרדית ואדמיניסטרטיבית שוטפת הזדמנות להשתלב בצוות מגוון ומקצועי ובארגון מוביל המאפשר למידה והתפתחות מקצועית דרישות התפקיד סטודנט/ית לתואר בתחום: סוציולוגיה / שירותי אנוש / פסיכולוגיה / ניהול משאבי אנוש / ייעוץ ארגוני / תחום דומה אישור לימודים תקף - חובה זמינות ל- 3 ימי עבודה - חובה יתרת לימודים - 4 סמסטרים לפחות - חובה זמינות לעבודה בשעות הבוקר בין 8:00-16:00 - חובה היכרות עם תוכנות Office בדגש על: WORD, EXCEL, OUTLOOK כישורים נוספים כישורים בינאישיים גבוהים יכולת למידה עצמאית יכולות תעדוף משימות וניהול זמן נכון יכולת עבודה בצוות ובשיתוף פעולה להגשת מועמדות למשרה* רק פניות מתאימות ייענו"
ראש/ת מינהל למכון המחקר CRIR,"רמב""ם",,Haifa,https://campaign.adamtotal.co.il?d=7j9nu6kp8XybB4%2fA6DWM6g%3d%3d,2026-05-24,"תיאור התפקיד אחריות ותמיכה אדמיניסטרטיבית, תפעולית ופיננסית של המכון לצד מנהלת המכון ניהול תקציבים, חוזים, ספקים ומענקי מחקר עבודה שוטפת מול גורמים פנים וחוץ ארגוניים - כולל הנהלה, חוקרים, גורמי מימון ושותפים אקדמיים ועסקיים בארץ ובחו""ל שותפות בפרויקטים שונים של המכון - כולל ארגון כנסים ואירועים, הובלת תהליכים ויצירת שיתופי פעולה אחריות על עמידה בדרישות רגולציה, נהלים ודיווחים דרישות התפקיד תואר ראשון בתחום רלוונטי ניסיון קודם בניהול אדמיניסטרטיבי או תפעולי ניסיון קודם מארגון גדול - יתרון ניסיון בניהול תקציבים והבנה פיננסית שליטה מלאה בעברית ובאנגלית (בכתב ובעל פה) כישורים נוספים יכולת הנעה ויצירת שיתופי פעולה מול מגוון ממשקים נכונות לשלב עבודה אדמיניסטרטיבית עם עשייה תפעולית ודינמית אחריות אישית גבוהה יכולת למידה עצמית גבוהה יכולת להתמודד עם עומס משימות מורכבות גישה שירותית תקשורת בין-איש"
בקר/ית תקציבי/ת למחקרים קליניים,"רמב""ם",,Haifa,https://campaign.adamtotal.co.il?d=FI9fEMXr1rclS4Dw3rCuGw%3d%3d,2026-05-24,"תיאור התפקיד בקרה תקציבית על מחקרים קליניים בשטח ליווי בניית תקציבי מחקר בהנחיית כלכלן אגף המחקר מעקב אחר ביצועי המחקרים והבטחת גבייה בהתאם לפעילות שבוצעה ממשק יומיומי ועבודה שוטפת עם אגף הכספים ואגף המחקר, כולל מתאמות ומתאמי מחקר וחוקרים עבודה מול צוותים והון אנושי מקצועי ומוביל בתחומו דרישות התפקיד תואר ראשון בתחום מדעי או בכלכלה/מנהל עסקים ניסיון קודם בתיאום מחקרים קליניים - יתרון ניסיון קודם בתפקידים כלכליים - יתרון ניסיון קודם בעבודה עם תקציבי מחקר או מערכות בריאות - יתרון שליטה מלאה בתוכנת אקסל כישורים נוספים יכולת אנליטית וירידה לפרטים יכולת עבודה עצמאית וביצוע בקרה בשטח יכולת עבודת צוות תקשורת בין-אישית טובה ויכולת עבודה מול מגוון גורמים להגשת מועמדות למשרה* רק פניות מתאימות ייענו"
עורך/ת דין לאגף המחקר,"רמב""ם",,Haifa,https://campaign.adamtotal.co.il?d=WtunPv%2fFUN5f512QZcOslw%3d%3d,2026-05-24,"תיאור התפקיד מעבר על חוזים בתחום המחקר הקליני וניתוחם כתיבת הערות משפטיות ואישור חוזים ניהול משא ומתן מול גורמים בארץ ובחו""ל עבודה שוטפת מול עו""ד נוספים, חברות גלובליות ומקומיות וגופים אקדמיים ביצוע שיתופי פעולה עם משפטנים, חוקרים, מתאמות מחקר ובעלי עניין נוספים מתאים גם לעו""ד שסיימו התמחות בשנתיים האחרונות דרישות התפקיד רישיון עו""ד בתוקף ניסיון קודם בתפקיד דומה - יתרון ניסיון קודם בעבודה עם חוזים בינלאומיים - יתרון היכרות עם תחום המחקרים הקליניים / פארמה / רגולציה - יתרון שליטה מלאה בעברית ובאנגלית (כתיבה, קריאה ודיבור) כישורים נוספים יכולת אנליטית גבוהה וירידה לפרטים יכולת עבודה בצוות כישורים בינאישיים טובים להגשת מועמדות למשרה* רק פניות מתאימות ייענו"
מזכיר/ה רפואי/ת,"רמב""ם",,Haifa,https://tinyurl.com/2dzhcuzg?latest,2026-05-24,"תיאור התפקיד עבודה מול מגוון צוותים: אדמיניסטרטיבי, סיעודי ורפואי עבודה מול מוזמנים ומטופלים עבודה מול יומנים וזימון תורים דרישות התפקיד 12 שנות לימוד לפחות תעודת מזכירות רפואית ניסיון קודם בתפקיד דומה - יתרון ניסיון בעבודה אדמיניסטרטיבית כישורים נוספים ייצוגיות ויחסי אנוש טובים יכולת למידה מהירה שליטה מלאה בתוכנות Office להגשת מועמדות למשרה* רק פניות מתאימות ייענו"
"מזכיר/ה ללשכת סמנכ""ל הכספים","רמב""ם",,Haifa,https://campaign.adamtotal.co.il?d=qpJtuL3uQRHPf9Gjgvsd2Q%3d%3d,2026-05-24,"תיאור התפקיד ניהול יומן דינמי ותיאום פגישות מרובות משתתפים סיוע שוטף למנהלת הלשכה הכנת חומרים לפגישות, מצגות וישיבות לפי צורך עבודה מול ממשקים בכירים בארגון ומחוצה לו דרישות התפקיד ניסיון באדמיניסטרציה בכירה של דרגים גבוהים – לפחות שנתיים שליטה מלאה ביישומי Office בדגש על Outlook ו-PowerPoint שליטה בשפה העברית כולל יכולת ניסוח בכתב ובעל-פה השכלה אקדמית - יתרון כישורים נוספים יכולת עבודה בסביבה מרובת משימות ותחת לחץ סדר, ארגון ויכולת תעדוף גבוהה יוזמה, אחריות אישית ויכולת הגדלת ראש יחסי אנוש מצוינים ויכולת עבודה עם דרגים בכירים, תוך שמירה על דיסקרטיות ואמינות ברמה גבוהה מאוד להגשת מועמדות למשרה"
חשב/ת שכר,"רמב""ם",,Haifa,https://tinyurl.com/289em2go?latest,2026-05-24,"תיאור התפקיד השתלבות במחלקת השכר של בית החולים טיפול בתשלומי השכר של העובד מקליטת ועד לפרישתו בדיקת תלושי שכר והתאמתם לדיווחים טיפול בפניות בנושאי שכרבמספר ערוצים (פרונטלי, טלפוני ודיגיטלי) ביצוע חישובים, הפקת דוחות וביצוע בקרות על נתוני השכר עבודת צוות הדוקה ועבודה מול מחלקת משאבי אנוש דרישות התפקיד תעודת ""חשב שכר בכיר"" של לשכת רואי החשבון תואר ראשון בכלכלה/ראיית חשבון/מנהל עסקים/סטטיסטיקה/תחום דומה - יתרון ניסיון קודם כחשב/ת שכר שליטה טובה ב- Excel ניסיון בעבודה במגזר הציבורי – יתרון היכרות עם דיני מס הכנסה, ביטוחים פנסיוניים, חוק הביטוח הלאומי, דיני עבודה כישורים נוספים חשיבה אנליטית דייקנות יכולת עבודת צוות יכולת עבודה ולמידה עצמאית יכולת תעדוף משימות שירותיות ויכולת לעבוד מול קהל רצון ללמוד ולהעמיק בתחום לטווח ארוך להגשת מועמדות למשרה* רק פניות מתאימות ייענו"
טכנאי/ת הנדסאי/ת מיזוג אוויר למחלקת אחזקה,"רמב""ם",,Haifa,https://tinyurl.com/2lye2x3f?latest,2026-05-24,"תיאור התפקיד הקריה הרפואית רמב""ם מחפשת לצרף לשורותיה טכנאי/ת הנדסאי/ת מיזוג אוויר, לאחזקה ותיקון מערכות מיזוג אוויר תעשייתיות. דרישות התפקיד 3 שנות ניסיון לפחות בתחומים הבאים : יטאות/מפוחים/משאבות/ חשמל/מזגנים (AW ומפוצלים) או תחום קשור בעל רישיון חשמלאי בתוקף שליטה מלאה בשפה העברית בכתב ובעל פה ידיעת אנגלית טכנית להגשת מועמדות למשרה * רק פניות מתאימות ייענו"
PMO תפעולי,"רמב""ם",,Haifa,https://campaign.adamtotal.co.il?d=Yv7HfK%2bXMomFyCEfgPUlmQ%3d%3d,2026-05-24,"תיאור התפקיד מהנדס/ת תעשייה וניהול?רוצה לקום בבוקר ולדעת שהעבודה שלך משנה מציאות?ברמב""ם מחכה התפקיד הבא שלך!כאן תהיה לך הזדמנות להוביל פרויקטים חוצי ארגון, לשלב בין אסטרטגיה לפרקטיקה, לייעל תהליכים ולראות איך העבודה שלך משפיעה על השטח.זה הרגע שלך לעשות את הצעד הבא בקריירה ולהצטרף לנבחרת המובילה בצפון. דרישות התפקיד בוגר/ת לימודי תעשייה וניהול שנתיים לפחות של ניסיון קודם בשיפור תהליכים שליטה במערכות מידע וניתוח נתונים - יתרון יכולת הנעה ושכנוע יכולת הובלה יכולת עבודה מול ממשקים מרובים ומגוונים רצון להשתלב בתפקיד דינמי ובעל יכולת השפעה להגשת מועמדות למשרה"
מתאם/ת מחקרים קליניים,"רמב""ם",,Haifa,https://www.rambam.org.il/about-rambam/careers/,2026-05-24,"תיאור תפקיד טיפול אדמיניסטרטיבי, רגולטורי ותקציבי במחקר קליני לאורך כל שלביו"
מרפא/ה בעיסוק,"רמב""ם",,Haifa,https://tinyurl.com/228kh7dp?latest,2026-05-24,"תיאור התפקיד השתלבות בצוות רב מקצועי מוביל בתחום עבודה בתחום הפיזיקלי (בבית החולים הכללי) אחריות על תוכניות טיפול מגוונות (ארוכות/קצרות טווח, פרטניות/קבוצתיות) עבודה מול אוכלוסיות מטופלים שונות קבלת ליווי מקצועי והדרכות ייעודיות קידום ההתפתחות המקצועית-אישית והשתתפות בכנסים והשתלמויות עבודה במשרה חלקית (ניתן לפרוס על 3/4 ימים) דרישות התפקיד תואר ראשון בריפוי בעיסוק ממוסד אקדמי המוכר על ידי המל""ג תואר שני – יתרון ניסיון קודם בתפקיד דומה – יתרון רצון להשתלב בתפקיד לטווח ארוך כישורים נוספים כישורים בינאישיים גבוהים יכולת הכלה ואמפתיה יכולת עבודה בצוות יכולת עבודה מול ממשקים מרובים יכולת תעדוף משימות להגשת מועמדות למשרה* רק פניות מתאימות ייענו"
עובד/ת סוציאלי/ת,"רמב""ם",,Haifa,https://tinyurl.com/2x8stwno?latest,2026-05-24,תיאור התפקיד טיפול באוכלוסיות מגוונות התערבות בשעת משבר ביצוע הערכה ביופסיכוסוציאלית בניית תוכנית טיפול תכנון שחרור ועבודה מול גורמים בתוך בית החולים ובקהילה עבודה בצוות רב-מקצועי דרישות התפקיד תואר ראשון בעבודה סוציאלית תואר שני - יתרון רישום בפנקס העובדים הסוציאליים ניסיון קודם במערכת הבריאות – יתרון כישורים נוספים יחסים בין-אישיים טובים גמישות מחשבתית סבלנות ואמפתיה יכולת עבודה בסביבת עבודה דינאמית להגשת מועמדות למשרה* רק פניות מתאימות ייענו
קלינאי/ת תקשורת למגוון תפקידים במכון לשמיעה ודיבור,"רמב""ם",,Haifa,https://tinyurl.com/2y2uhgdd?latest,2026-05-24,תיאור התפקיד הערכה וטיפול בשפה ודיבור בחולים עם הפרעות נרכשות הערכה וטיפול בתחומי הפרעות קול ובליעה בדיקות קליניות ובדיקות אינסטרומנטליות (FEES) דרישות התפקיד תואר ראשון בהפרעות בתקשורת ממוסד המוכר על ידי המל”ג תואר שני - יתרון רישיון ממשרד הבריאות כישורים נוספים יכולת עבודה בצוות אמפתיה וגישה טיפולית ותומכת להגשת מועמדות למשרה * רק פניות מתאימות ייענו
פיזיותרפיסט/ית,"רמב""ם",,Haifa,https://tinyurl.com/2bwfyh2m?latest,2026-05-24,תיאור התפקיד עבודה עם מגוון אוכלוסיות מטופלים ממשק עבודה צמוד עם הצוות הסיעודי והרפואי במחלקות השונות השתלבות בצוות ותיק ומקצועי הזדמנויות תכופות להשתלמות והעשרה מקצועית דרישות התפקיד תואר ראשון בפיזיותרפיה ממוסד להשכלה גבוהה מוכר - חובה ניסיון קודם - יתרון כישורים נוספים יכולת עבודה בצוות יכולת עבודה מול ממשקים מרובים גישה שירותית להגשת מועמדות למשרה* רק פניות מתאימות ייענו
מאבטח/ת,"רמב""ם",,Haifa,https://www.rambam.org.il/about-rambam/careers/,2026-05-24,"תיאור התפקיד תפקיד שטח מאתגר הכולל אחריות על ביטחון המתחם, שמירה על הסדר הציבורי, מענה לאירועים חריגים, ועבודה בסביבה דינמית ורבת ממשקים עבודה מול מגוון רחב של אוכלוסיות עבודה תחת מצבים רגישים ועמידה בקו הראשון של שמירה על ביטחון המטופלים, המבקרים והצוותים המקצועיים דרישות התפקיד שירות צבאי מלא – רובאי 03 לפחות תעודת לוחם נכונות לעבודה במשמרות (כולל לילות, סופ""ש וחגים) זמינות לביצוע שעות נוספות לפי צורך יכולת עבודת שטח פיזית כישורים נוספים אסרטיביות אחריות אישית גבוהה תפקוד מיטבי במצבי לחץ יחסי אנוש טובים ויכולת עבודה מול אוכלוסיות מגוונות גישה שירותית וייצוגיות רצון לקחת חלק בעשייה משמעותית במערך ביטחוני מוביל למתאימים: אפשרויות קידום בתוך מערך האבטחה, התפתחות מקצועית ופתיחת דלת להשתלבות עתידית בתפקידים נוספים בבית החולים הגשת קורות חיים במייל (בנושא: שם המשרה) [email protected]* רק פניות"
