title,company,location,date,url,department,workplace_type,position_type
Backend Tech Lead,365scores,Tel Aviv-Yafo,2026-05-20,https://corporate.365scores.com/careers/position/?jobid=B5.652,R&D,On-site,
Data Scientist,365scores,Tel Aviv-Yafo,2026-06-24,https://corporate.365scores.com/careers/position/?jobid=AB.560,Data & BI,On-site,
PPC Search Specialist - Entain,365scores,Tel Aviv-Yafo,2026-05-24,https://corporate.365scores.com/careers/position/?jobid=D6.B62,Marketing,On-site,
Product AI Engineer (Growth & Innovation),365scores,Tel Aviv-Yafo,2026-06-18,https://corporate.365scores.com/careers/position/?jobid=B5.861,Product Management,On-site,
Product Designer,365scores,Tel Aviv-Yafo,2026-06-24,https://corporate.365scores.com/careers/position/?jobid=23.56B,Product Management,On-site,
Product Manager,365scores,Tel Aviv-Yafo,2026-06-27,https://corporate.365scores.com/careers/position/?jobid=81.A6B,Product Management,On-site,
Project Manager and Producer- Entain,365scores,Tel Aviv-Yafo,2026-06-28,https://corporate.365scores.com/careers/position/?jobid=9C.156,Marketing,On-site,
Senior Data Analyst,365scores,Tel Aviv-Yafo,2026-06-26,https://corporate.365scores.com/careers/position/?jobid=BC.A60,Data & BI,On-site,
User Acquisition Manager,365scores,Tel Aviv-Yafo,2026-06-28,https://corporate.365scores.com/careers/position/?jobid=B3.D67,,On-site,
R&D Team Lead,8fig,Tel Aviv-Yafo,2026-06-28,https://www.8fig.co/jobs/comeet/tel-aviv-israel/AF.A68/rd-team-lead/all/,Engineering,Hybrid,
AI Transformation Senior Manager,ACS Motion Control,Yokneam Illit,2026-06-28,https://acsmotioncontrol.com/careers/,Operation,On-site,
EMS Project Manager,ACS Motion Control,Yokneam Illit,2026-06-28,https://acsmotioncontrol.com/comeet/co/acs-motion-control-israel-hq/68.961/ems-project-manager/all/,Operations,On-site,
HW Integration Practical Engineer,ACS Motion Control,Yokneam Illit,2026-06-17,https://acsmotioncontrol.com/comeet/co/acs-motion-control-israel-hq/C8.166/hw-integration-practical-engineer/all/,R&D - HW,On-site,
NPI Project Manager,ACS Motion Control,Yokneam Illit,2026-06-27,https://acsmotioncontrol.com/comeet/co/acs-motion-control-israel-hq/68.964/npi-project-manager/all/,Operations,On-site,
R&D Hardware Engineer (Board Designer),ACS Motion Control,Yokneam Illit,2026-06-15,https://acsmotioncontrol.com/comeet/co/acs-motion-control-israel-hq/FA.16C/rd-hardware-engineer-board-designer/all/,R&D - HW,On-site,
Sales Administrator (Maternity Leave Replacement with Potential for Extension),ACS Motion Control,Yokneam Illit,2026-06-09,https://acsmotioncontrol.com/comeet/co/acs-motion-control-israel-hq/B9.B6A/sales-administrator-maternity-leave-replacement-with-potential-for-extension/all/,Operations,On-site,maternity_cover
Sales Engineer - DACH,ACS Motion Control,Karlsruhe,2026-06-25,https://acsmotioncontrol.com/comeet/co/acs-motion-control-europe-germany/75.959/sales-engineer-roe/all/,Sales,Remote,
Sales Engineer - ROE,ACS Motion Control,Karlsruhe,2026-06-21,https://acsmotioncontrol.com/comeet/co/acs-motion-control-europe-germany/72.B6E/sales-engineer-dach/all/,Sales,Remote,
Segment Marketing Manager,ACS Motion Control,Yokneam Illit,2026-06-21,https://acsmotioncontrol.com/comeet/co/acs-motion-control-israel-hq/4D.762/segment-marketing-manager/all/,Marketing,On-site,
Account Manager,Alice,New York,2026-06-29,https://alice.io/positions/position-2d_a6d,Customer Success Management,Remote,
