id,title,company,location,date_posted,deadline,url,source,education,experience,summary
4-150/2026,ר' מערכת הגנת הסביבה,אמון- אגף מבצעים לוגיסטיקה ונכסים,תל אביב-יפו,2026-06-28,2026-07-12,https://jobs.mod.gov.il/#/Tenders?TenderId=34577,mod,אקדמאית (תואר ראשון) או הנדסאי/ת או טכנאי/ת.,"לבעל/ת תואר ראשון נדרש ניסיון של 3 שנים, להנדסאי/ת 4 שנים, ולטכנאי/ת 5 שנים, בלפחות שלושה מהתחומים המפורטים להלן: 1.תכנון רכישה מקדים. 2.הגדרת סטנדרטים למוצרים/השירות וכן לספקים. 3.דיוק הצורך, גיבוש וליווי ו/או כתיבת הדרישות המקצועיות (לרבות מול גורמי המקצוע). 4.ניתוח שוק לרבות בחינת המוצרים/השירותים, המחירים והספקים הקיימים. 5.עריכת הסכם לשלב הרכישה ולשלב ההתקשרות. 6.כתיבת מכרזים על-פי חוק חובת המכרזים. 7.ניהול ההליך המכרזי לרבות ניתוח הערך ובדיקת ההצעות, מענה על שאלות הבהרה ודירוג ההצעות. 8.הערכת עלויות וביצוע אומדן טרם ביצוע הרכש לצורך היערכות ושריון תקציבי. 9.מו""מ מול ספקים באשר להסכם ההתקשרות טרם ביצוע הרכישה. 10.ניהול ההתקשרות מול הספקים, אכיפת ההסכם וקיום מו""מ. לבעל/ת תואר שני תופחת שנת ניסיון אחת.",נשיאה באחריות לנושאי הגנת הסביבה במשרד הבטחון.
4-156/2026,מנהל מחלקת הסעים,אמון- אגף מבצעים לוגיסטיקה ונכסים,תל אביב-יפו,2026-06-28,2026-07-12,https://jobs.mod.gov.il/#/Tenders?TenderId=34589,mod,השכלה אקדמאית (תואר ראשון) או הנדסאי/ת או טכנאי/ת.,בעל/ת תואר ראשון - 2 שנות ניסיון הנדסאי/ת - 3 שנות ניסיון טכנאי/ת - 4 שנות ניסיון בניהול תהליכי רכש/ניהול מכרזים/ניהול התקשרויות וספקים. לבעל/ת תואר שני תופחת שנת ניסיון אחת.,"נשיאה באחריות לכל נושאי רכישת שרותי היסעים לפי דרישת גורמים שונים במשהב""ט וצה""ל, ביניהם: אגף השיקום, אגף משפחות הנצחה ומורשת/היחידה להנצחה אחריות לכל תהליכי בקרה וקבלת הכשר ביטחוני של נהגים ובעלי תפקידים בחברות התובלה וההיסעים. תחבורה ציבורית- אחריות על התקשרות מול ספקי התחבורה הציבורית ומשרד התחבורה."
4-154/2026,ר' חטיבה לייעוץ ופיתוח ארגוני,אגף משאבי אנוש,תל אביב-יפו,2026-06-28,2026-07-12,https://jobs.mod.gov.il/#/Tenders?TenderId=34597,mod,"אקדמית,תואר שני ביעוץ ארגוני/ בלימודי עבודה/משאבי אנוש/ מנהל עסקים עם התמחות ביעוץ ארגוני/ בסוציולוגיה/פסיכולוגיה ארגונית.",3 שנים בייעוץ ארגוני / פסיכולוג ארגוני בארגון גדול (*). 3 שנות ניסיון ניהולי הכולל ניהול צוות עובדים. הניסיון יכול להיות חופף או מצטבר. במכרז פנימי -רצוי מי ששימש/ה בתפקיד במתח דרגות 39-41 במשרד במשך 3 שנים.,"אחריות לאבחון, הטמעת תהליכים ארגוניים ומתן ייעוץ להנהלת משרד הביטחון בסוגיות פיתוח ארגוני, לרבות גיבוש המלצות לשינויים, ליווי מנהלים, קידום תפיסת ניהול מתקדם, פיתוח הכשרות הנוגעות לניהול הבכיר בהובלת שינויים אסטרטגיים ובהתאם למדיניות סמנכ""ל ור' אמ""ש."
4-146/2026,"ר' חטיבת פיקוח צמ""ה",ההנדסה והבינוי,פתח תקוה,2026-06-23,2026-07-07,https://jobs.mod.gov.il/#/Tenders?TenderId=34555,mod,מהנדס/ת או הנדסאי/ת או טכנאי/ת. רישום בפנקס המהנדסים/אדריכלים או בפנקס ההנדסאים/טכנאים.,"ניסיון של 4 שנים למהנדס/ת או 5 שנים להנדסאי/ת או 6 שנים לטכנאי/ת בניהול פרויקטי בינוי/פיקוח על פרויקטי בינוי/ניהול פעילויות בתחום הצמ""ה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת. ניסיון של 1 שנה בניהול צוות עובדים. ניסיון זה יכול להיות חופף או מצטבר. במכרז פנימי-רצוי מי ששימש/ה במשך 3 שנים בתפקיד ברמת ר' תחום/מערכה, במשרד.","נשיאה באחריות כוללת לניהול חוזים ופיקוח צמ""ה שכור בחירום ובשגרה מקצה לקצה ומתן מענה לכלל זרועות צה""ל ומעהב""ט."
4-149/2026,"ר' תחום רישוי מח""ר (מע' חימוש ורק""מ)",הפיקוח על הייצוא הביטחוני,תל אביב-יפו,2026-06-23,2026-07-07,https://jobs.mod.gov.il/#/Tenders?TenderId=34570,mod,מהנדס/ת /הנדסאי/ת/טכנאי/ת או אקדמאי/ת -רצוי בתחומי כלכלה/מינהל עסקים/מדעים מדוייקים.,"ניסיון של 3 שנים לאקדמאי/ת, 4 שנים להנדסאי/ת ו-5 שנים לטכנאי/ת בתחום: היצוא הביטחוני/ הרכש / קשרי חוץ / מו""פ. לבעל/ת תואר שני תופחת שנת ניסיון אחת.","אחריות לטיפול בבקשות לרישיונות שיווק ויצוא שבתחום האחריות. אחריות לריכוז ותיאום עמ""ט משרדית לבחינת הבקשות. ייצוג אפ""י בפני גורמי מעהב""ט בנושאים שבתחום הטיפול."
4-144/2026,ע' בכיר לרווחה,אגף השיקום,טבריה,2026-06-23,2026-07-07,https://jobs.mod.gov.il/#/Tenders?TenderId=34550,mod,אקדמאית (תואר ראשון),2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
4-143/2026,"אחראי שר""פ",אגף השיקום,תל השומר,2026-06-17,2026-07-01,https://jobs.mod.gov.il/#/Tenders?TenderId=34551,mod,אקדמאית (תואר ראשון),1 שנת ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. בעלי/ות תואר שני לא נדרשים לניסיון.,טיפול במימוש זכאויות בתחום הרווחה/ השירותים הרפואיים על פי הוראות האגף והנחיית הממונה.
4-145/2026,"מנמ""ח תחשיבים, חשבונות וכמיות במחוז",ההנדסה והבינוי,באר שבע,2026-06-17,2026-07-01,https://jobs.mod.gov.il/#/Tenders?TenderId=24477,mod,אקדמאית (תואר ראשון)בהנדסה או הנדסאי/ת או טכנאי/ות בתחום: אזרחית/ חשמל/ מכונות או אדריכלות. רישום בפנקס המהנדסים/אדריכלים או בפנקס ההנדסאים/טכנאים.,"ניסיון של 2 שנים לפחות למהנדס/ת, 3 שנים להנדסאי/ת ו-4 שנים לטכנאי/ת, בתחומי פיקוח בינוי/ניהול פרוייקטי בינוי/התקשרויות בינוי. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.","בדיקת חשבונות חלקיים וסופיים של ספקים וקבלנים בפרויקטים. בדיקת חישובי כמויות, חישובי התייקרויות וניתוחי מחירים."
4-140/2026,ר' תחום מיוחדות,האגף לייצוא ביטחוני-סיבט,תל אביב-יפו,2026-06-17,2026-07-01,https://jobs.mod.gov.il/#/Tenders?TenderId=34547,mod,"השכלה אקדמית (תואר ראשון), רצוי במנהל עסקים/ מדעי המדינה או שיווק (בדגש על שיווק בינלאומי)/ דיפלומטיה/ יחסים בינלאומיים.","לבעל/ת תואר ראשון- 3 שנות ניסיון בתחום- שיווק ביטחוני/ בינלאומי /קשרי חוץ באחד מהתחומים הבאים לפחות - - עבודה מול גורמים זרים, עדיפות למשרדי ממשלה, ביצירת שיתופי פעולה והובלת פרוייקטים שיווקיים משותפים. - ניסיון בפיתוח עסקי בשוק הבינ""ל, כתיבת ניירות עמדה ומודיעין עסקי. - ניסיון בהובלת פרויקטים בתחום השיווק והיצוא הביטחוני. לבעל/ת תואר שני תופחת שנת ניסיון אחת.","ביצוע הפעילות לשם קידום הייצוא הביטחוני, סיוע ליצואנים וניהול עסקאות יצוא ביטחוני הנוגעות לאזור הגיאוגרפי שבתחום האחריות."
4-142/2026,ע' בכיר לרווחה,אגף השיקום,באר שבע,2026-06-17,2026-07-01,https://jobs.mod.gov.il/#/Tenders?TenderId=34549,mod,אקדמאית (תואר ראשון),2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
4-151/2026,ר' תחום בקורת מודיעין,מבקר מערכת הביטחון,תל אביב-יפו,2026-06-17,2026-07-01,https://jobs.mod.gov.il/#/Tenders?TenderId=34580,mod,"השכלה אקדמית (תואר ראשון) או רואה חשבון מוכר/ת ע""י מועצת רואי החשבון בישראל. רצוי בעל/ת תואר שני רצוי בוגר קורס בביקורת פנימית שהוכר ע""י הוועדה לענייני השתלמות עפ""י סעיף 3 (א)(5) לחוק הביקורת הפנימית",חלופה א': ניסיון של 3 שנים בעריכת ביקורת פנימית חלופה ב': ניסיון של 3 שנים בתחום מודיעין . לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,"אחריות לעריכת ביקורות בתחום המודיעין בכלל מערכת הביטחון, בהתאם להנחיות ר' היח' לביקורת מודיעין."
