title,company,location,url,date
"מנהל/ת תפעול ואדמיניסטרציה
מנהל/ת תפעול ואדמיניסטרציה with verification",IAI - Israel Aerospace Industries,"Lod, Center District, Israel (On-site)",https://www.linkedin.com/jobs/view/4407333849/?eBP=CwEAAAGeTsv1qIv2V-6_3W7A1_eyEekeYiyGJA9HzUWF6bLYVtcbpUqTMVS-Nx1tr_39q1wP5kESlhAoEupRO3Z0APFN3LgR-XWVGcRkEneXl7Pd8-O5QgXcIYBFvZurnb2WqXozcRbhOCEUxTYqVkCgdorTzrLdorQ2XGjxIR2DlZcTOdJ69IoQYBpqJsHeyIvRfnp76UJMyBRB6mXXSgTSQAzivyiMwQ8s6mV1NErkmjZ7t_PRUeYEFOUvJE7agn4OCIWvBSWN2LH90iNKMINJtCruxMOHx4geT2tqJ_IoWDGRqfvOLAy-O1sq6sZKbEnf1t0Hc7dFGaA6z1KC8-2W3eXwCnt66XxXj-z1U-tizWlSi_xIXOyRv2Yay7N-y5vv_jwkXh8AOR5kDj9QVP5qUBtUKpcxdr2jgBQsAkV3WCBw-T5lOXSXRGd3Ol0C0zRXkB8K83ygHXugWmuu6AzmDk1LKXCblKG1xwraZgPEGw&refId=zhaHxvGodjgiSUczSOCHxA%3D%3D&trackingId=TH0juyhM7M4eHYpxU7wmeQ%3D%3D&trk=flagship3_search_srp_jobs,05/22/2026
"Translation Coordinator
Translation Coordinator",MyWord Localization ltd,"Petah Tikva, Center District, Israel (On-site)",https://www.linkedin.com/jobs/view/4413682397/?eBP=CwEAAAGeTsv1qHwa91f9izGnErzb2LwSFbVpoxAca7tO50rq_f-hUQXYlgUdO-sH5hWjcQCt50R9WwwiWZVX-XEQQBLFgAgNKVjkdN2CZCCDoDHzhRr1VMp4hj5iHUYfwsFCgN4bfEIe0Nz4MEsVsfQR1lx_qiBP_350pBtrBbnEgvJlpS_Y_ItmD_cOt4Z2sNVAi_dmU49kzyZILR20bbqTb0FbEurK17ktEBSOWaBF3oACG5YyIrg97MBJkPMJkkDYKFOxCl-aP7TH23ehTTXrq5BUD09OnAYeEmH5XAOzswoMdR97xRbmGi51Py3s8LxaPjkkCBBnSaqXdMhOOzIlbOucU7dYNlKbpmOFl3zTVBh3wASrLoTXxX3OhQXbdEpys9AWCy6gy_Os_daXqxoUTT-AETD4nANLdzbWR8TiEcaBDHCFy0AezRygINMpg89KprIwwLcxYwNZg3-moEE76Nvg31m3tV_XwRLyCilpnbJLv7LMAsX0uvgi1f0&refId=zhaHxvGodjgiSUczSOCHxA%3D%3D&trackingId=8%2FdQ5H2vUzIwbzRXC9U3SA%3D%3D&trk=flagship3_search_srp_jobs,05/22/2026
"Customer Success & Training Representative
Customer Success & Training Representative",A Point Systems ltd,"Petah Tikva, Center District, Israel (On-site)",https://www.linkedin.com/jobs/view/4413682275/?eBP=CwEAAAGeTsv1qaUWX3Ogf470tCOl5J4xbvmaks7Cm2ascA4U5qv35-fLfl1pfS5pb6IVrQ6InKQChTW3aA9WfG95QmCK6bh5n_k0xypBE6k5Ixdmt-Pi6CHi7SnNT10So_n05cjBLIEQjVl7yB_vgp1vi0jrg5rPtfhZ88SbXohRLBwLq9BEkKTc6au5fFSwg-B3TmgqUPJpxpZOezqBcjywVZ3EbDZWAeOOrAbu4iwABFo3Iws4foLDu873c5_Q9M6EEZixw019zUvpDrHNdV3S-040JRhqE__1MHLHU9_Ci-85HGHQAG9lY3C0AB9jnIn34O28yLNjQfaUOTyk0YKia8YBeSQqGeEf52JnUhqIClv1VwykPdTG8XlxY0oHMEe5hoR0vkKjo6usjRPb14foOvuqTYoq36G4xgOYbRmC_QEenKD7_wxciCKIg7OjoP4hiG1LWHb5SqUKNBj6hlUo0sxKy4krHTNUg5rzIpI7ujFCrOrY4_3NWUPM&refId=zhaHxvGodjgiSUczSOCHxA%3D%3D&trackingId=1KsNpLzqOR7iU7Q9eWHnAw%3D%3D&trk=flagship3_search_srp_jobs,05/22/2026
"Urban Planner\Architect
Urban Planner\Architect",Lerman Ben-Shushan Planning Office - משרד מתכננים לרמן בן-שושן,"Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4414026280/?eBP=CwEAAAGeTsv1qWrUAThJGh_1y6FZJJ5Uvut2jSsrtdXdNo3YG5jPGtYdptx1SewlDAterjAVq0jOddqNJNnIP21rQ_S7C2xCdhdncF6BcQJbiu0Y6gzDzx6b-1ifabNII_3TVtlSnBpW9HwNStKxBNAlrU_wWa_QqmdanHYawmKRjxLp38HTs0hu5ueQt6yAv2uIBOIOhKlLh3fkMUWKOFMIecyEe8dPBqhmzAOZe8etOVR8xpB1wUOi9at1Bg3UBlFgEM78b1kjGX2s-HWW8oUiKaeKQhO-LImlqkFN3klDs69Wj8JrdrdtsKXcJtH2NwN8JxHMQgr7S04MVHJHLBx037o6o8JCnAUhxd0dGm1laXgezStwFr0D498wc8PafZDJ4uoM3OAydaPdmOWo7hHQu-lPwl39WjEiOi1fTgSWxmKEbJyqZeq618L3NEkeUk_VWEIcx5vtFr7QtQcJekg4g8Ix--dGZcj0DBAScdE4bmPNGXc-7Ltu863YLQ&refId=zhaHxvGodjgiSUczSOCHxA%3D%3D&trackingId=9790UFv6ZF4L7LHoJV%2Bfpg%3D%3D&trk=flagship3_search_srp_jobs,05/22/2026
"AI Operation Manager
AI Operation Manager",Imagen,"Givatayim, Tel Aviv District, Israel (Hybrid)",https://www.linkedin.com/jobs/view/4417499930/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zhaHxvGodjgiSUczSOCHxA%3D%3D&trackingId=QK2w9pQ428bFeJvqxH28%2Fw%3D%3D&trk=flagship3_search_srp_jobs,05/22/2026
"מנהל.ת פרויקטים טכנולוגיים
מנהל.ת פרויקטים טכנולוגיים",Fair Fintech Ltd,"Tel Aviv District, Israel (Hybrid)",https://www.linkedin.com/jobs/view/4414009841/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zhaHxvGodjgiSUczSOCHxA%3D%3D&trackingId=IkgFYQEvRS%2B5LUeD4cb1lA%3D%3D&trk=flagship3_search_srp_jobs,05/22/2026
"Personalized Internet Ads Assessor – Hebrew speakers in Israel
Personalized Internet Ads Assessor – Hebrew speakers in Israel with verification",TELUS Digital,Israel (Remote),https://www.linkedin.com/jobs/view/4417496675/?eBP=CwEAAAGeTsv1qeRrjBTWjDl6S7RF-cVQcOJjIY_-jrZAUqZ_aBib8drVkFDjql8e0R1b6AOrQ7TAmXqHMNwCb6w6uMvu13SHvRJxB0SgEyrIb_1zqSGZ46IgDo4bCToc0waDaeXYaHocAVxzinw1-J-GPvx5dNPQDskTquhvnpz6qHtzIFwTRRfEImGhfdiP0fDyK2mLUQX258ce0Srf0V2AGEMQXKdo2caHHOwlfDO1kNk4z7D1EUhufG0P04rHh8goZAHxI9qpIUugpnO2gH8CVViyV9SqYr5fGRnvU09cWzVcffBlWVpqyo711kVHF-33MfXpnlwmnk6aNVDdSP17YacHlUB08q1TL78P3S1QmtBHrYjUBlK0XLRHNY69N8FoN-J6D76CPHQlDxq6vCtpKd2Kh-tTwvEMw0kl128r4qEu_FCwVmFAnbCfs-NP5O2apTU52xTl-XBDUB2lPCVTpJ0EZFpbYjx2-hNNmOw&refId=zhaHxvGodjgiSUczSOCHxA%3D%3D&trackingId=8SYtP4t5mL83hDWfp4eeTw%3D%3D&trk=flagship3_search_srp_jobs,05/22/2026
"Specialist , Product Management
Specialist , Product Management with verification",Pearson,"Haifa District, Israel (On-site)",https://www.linkedin.com/jobs/view/4315229160/?eBP=CwEAAAGeTsv1qW1PuD4evniocsIRrZmzneAIR5GU-SoQjfN_Lj7njs5pW9aUjOuo_wm-FGDMrkdyZrrY_qk7uWpu_i2r1bUKD2laGilGwFeyLHidVwzSGHSLAbZdgIGjZJAJiWpG6yBVPR8EZJuEJxN1s2oP4Hy1gdDhZD4s5DxvJMgKySIH5v440W4BArN-eFrqKUSetd297GYhkElP4cjQKOH9TYdLFVNE-wMMbh7osUZlL3mP98Pe939Iud8RHnMuMUfk55brfCsAcZ6ofQj_x4qP5O2gR8u0pzqwy-U_MpvekUZRuCJZa6vcSWo9ksGdlL9ASVvScfhgXwsbYnYjWe8ZEmDRt9jZRunI3LMH43tEU6tJVA-4hf1AWloPPOT8g0tcd2DhrV8dUTxv7vU3zLjdf-QlH4gtRXp1oXqe7jKuFTJW1AIL8fY_AUH-zqchy6d_SgEOqq5Sp5DkHrlViSLmFZBPpt7FjsxUjag&refId=zhaHxvGodjgiSUczSOCHxA%3D%3D&trackingId=wnqTY6JLSyuSI2SaLMGGRA%3D%3D&trk=flagship3_search_srp_jobs,05/22/2026
"Pricing Manager, Strategy & AI
Pricing Manager, Strategy & AI with verification",NiCE,"Raanana, Center District, Israel (Hybrid)",https://www.linkedin.com/jobs/view/4382776101/?eBP=CwEAAAGeTsv1qUVgZPwA_itXDYJcDYAT3unlKGJq2Xvxo1QXLFl0DKW8G9TUKjvNR7BaTqophVzYiXHyMwk2Qk3CcShti3jk0_RPvf7Nr4HpMKJmyPzsgW7l2HlLN6QU7sangzzA_8RB2418dyfE0hXbyR6ThCtnX4RbMgv-MOaYy9tVK7VoPZsb_GakRUNAlVa0M3FygWj-Xr2jMkYDxEYWHuGP2sfNsRI8gUZLhI1lz4UjZ6WM54ffOsjy4GImZbxGo46CB5qIJAdi-Zs7KkP4yGlp5M1qMCIECKIfQYP9lp9EGtWuREuDbbJR8RTxN_Yva953tHDo8Y74Gu0baW7qajB8Aij5JYMJ85Xk2ngBCwyqrquhI2y4fekztxL_2R5tobrfHfavl_enhAsiol4XKpptA61dgpwlTJlWa3C7x4DaVIVKkuU3B5oUThCEyGJBHzXglvKwSzEfzNyrpWZJgr9MT3wo73VZaNkg&refId=zhaHxvGodjgiSUczSOCHxA%3D%3D&trackingId=k6OgZnPmx2ahuW9iG93ZIQ%3D%3D&trk=flagship3_search_srp_jobs,05/22/2026
"𝗖𝗮𝗺𝗽𝗮𝗶𝗴𝗻 𝗠𝗮𝗻𝗮𝗴𝗲𝗿: 𝗣𝗮𝗶𝗱 𝗠𝗲𝗱𝗶𝗮 & 𝗬𝗼𝘂𝗧𝘂𝗯𝗲 𝗚𝗿𝗼𝘄𝘁𝗵 (𝗝𝘂𝗻𝗶𝗼𝗿 𝘁𝗼 𝗠𝗶𝗱-𝗟𝗲𝘃𝗲𝗹)
𝗖𝗮𝗺𝗽𝗮𝗶𝗴𝗻 𝗠𝗮𝗻𝗮𝗴𝗲𝗿: 𝗣𝗮𝗶𝗱 𝗠𝗲𝗱𝗶𝗮 & 𝗬𝗼𝘂𝗧𝘂𝗯𝗲 𝗚𝗿𝗼𝘄𝘁𝗵 (𝗝𝘂𝗻𝗶𝗼𝗿 𝘁𝗼 𝗠𝗶𝗱-𝗟𝗲𝘃𝗲𝗹)",Orzila ltd.,"Jerusalem District, Israel (On-site)",https://www.linkedin.com/jobs/view/4413676605/?eBP=CwEAAAGeTsv1qS9Cl9YXsQPFuAOl2sTmTkvg1uu9XLG7JfoE-3KFMyvCYbiVqLGsKbOV8ClUvoBo3rZlzf8Xe79eJrprcHRCAg45rO-NhMxHchHt0IkRQpVv5uQZAV6kJoKFOCL0BpBYpGigvP9yfHkPCUIuKpoDWVGwpds-uBMRaWw08R9xtvJQtVZ2uJb-Ri90Vz9pso4RDMfHKe-1dmanRND6elpG5wj1GVGRKp_ZinQ3boQ7_jE5W1QH9oGRK2frwndvOYtI0sgxRvQiZQDhk3Uci5NQgxBYVzJ6CYR_Zy088LagCCfwLMD2Asm1MqiOxmbXGLiDWdPEaR1MkW6BnPS_5sF05zn60q-nntGu9nyxPAnfV1flYDL7qYO26CHkXzr58MnGon8qyerQyc2xX3WyTagNYKL-2e62rhlAwflLmvK3UQwLaLdmqqSrI2CPHOq21PvV3QiEeARTqoi7LZyfh1ImBVG9hl5rBiLZ-BhDQOLHvpTu07eC&refId=zhaHxvGodjgiSUczSOCHxA%3D%3D&trackingId=EMfxrKb%2By26a7ahYh9TvPA%3D%3D&trk=flagship3_search_srp_jobs,05/22/2026
