title,company,location,date,url,department,workplace_type
Senior Embedded Vulnerability Researcher,D-Fend Solutions,"Raanana, Israel",2025-11-04,https://jobs.lever.co/d-fendsolutions/e34308fd-301e-4c57-bb61-739689005e8a,Reversing,hybrid
Senior Full Stack Engineer,D-Fend Solutions,"Raanana, Israel",2026-02-18,https://jobs.lever.co/d-fendsolutions/63982143-a1fa-4e08-9c5c-f3e27aa118f8,Software,onsite
Senior Purchasing Manager,D-Fend Solutions,"Raanana, Israel",2025-11-20,https://jobs.lever.co/d-fendsolutions/ab37c32c-832b-4e54-836c-087b1746fd68,Supply chain,onsite
Senior RF System & Design Engineer,D-Fend Solutions,"Raanana, Israel",2026-05-25,https://jobs.lever.co/d-fendsolutions/edfc36d0-0bbf-4bdc-bcae-03256b3ba138,Hardware,onsite
Senior Software Engineer (Cloud),D-Fend Solutions,"Raanana, Israel",2026-02-12,https://jobs.lever.co/d-fendsolutions/e6a9150c-558e-4b06-a5d6-347d1494ba29,Software,onsite
Senior Verification Engineer (FPGA),D-Fend Solutions,"Raanana, Israel",2026-03-26,https://jobs.lever.co/d-fendsolutions/721b07ac-40d0-4ada-9f36-2427f442ca1d,Hardware,onsite
System Engineer,D-Fend Solutions,"Raanana, Israel",2026-03-24,https://jobs.lever.co/d-fendsolutions/53dc8287-8969-472d-8b48-6c9b8901035a,System & Integration,onsite
Technical Instructor,D-Fend Solutions,"Raanana, Israel",2026-04-28,https://jobs.lever.co/d-fendsolutions/10688955-276b-4629-8a41-1b753c41804e,Customers Operations,onsite
Warehouse Operator,D-Fend Solutions,"Raanana, Israel",2026-01-29,https://jobs.lever.co/d-fendsolutions/476b72ff-35ab-458d-9a10-12f2fc5e44f1,Supply chain,onsite
Account Manager - OpenRAN (Africa),Parallel Wireless,Kenya,2026-01-28,https://jobs.lever.co/parallelwireless/c9c66902-e290-4e2d-b4df-cf7c5e46ed6d,401-Sales Africa/MENA/EU,remote
Account Manager - OpenRAN (Africa),Parallel Wireless,South Africa,2026-01-30,https://jobs.lever.co/parallelwireless/f1ebcbff-942c-4be0-94a9-555cb490327b,401-Sales Africa/MENA/EU,remote
"Director, Solution Sales Engineering, Asia region (Malaysia)",Parallel Wireless,Malaysia,2025-05-21,https://jobs.lever.co/parallelwireless/4b85a0b7-6f75-4957-a38f-349dc556df53,401-Sales Africa/MENA/EU,remote
