title,company,location,department,description,url,date_posted,first_seen,source
מנהל/ת חשבונות לצוות בק אופיס השקעות,איילון,רמת גן,פיננסים השקעות ושוק ההון,"הגדרת התפקיד: התאמות בנקים רישום פקודות יומן הנהלת חשבונות עד מאזן בקרה על דוחות יומיים וחודשיים טיפול בתשלומים לספקים וסוכנים עבודה מול ממשקים פנימיים (חשבונאות, כספים, סיכונים דרישות התפקיד: ניסיון קודם בהנה""ח – חובה היכרות עם שוק ההון ומכשירים פיננסיים שליטה באקסל ברמה טובה מאוד דיוק, סדר ויכולת עבודה תחת ריבוי משימות נכונות לעבודה במשרה מלאה",https://www.ayalon-ins.co.il/career/jobs/2008,2026-07-01,2026-07-01,ayalon
חתם/ת פרט - מחוז חיפה,איילון,נשר,חיתום,"הגדרת התפקיד: o יצירת קשר ומתן שירות לסוכני הביטוח o אחריות על תהליכי החיתום מול סוכנים בתחומי רכב/דירה דרישות התפקיד: o לפחות שנתיים ניסיון בתחום חיתום פרט - חובה o יכולת ניהול מו""מ וקידום מכירות – חובה o ניסיון עבודה מול סוכנים מובילים o שירותיות, דינאמיות o יכולת עבודה בצוות ועמידה בעבודה מרובת משימות o שליטה מלאה ביישומי ה-OFFICE",https://www.ayalon-ins.co.il/career/jobs/2007,2026-07-01,2026-07-01,ayalon
חתם/ת עסקים גדולים,איילון,רמת גן,חיתום,"הגדרת התפקיד: o הובלת תהליכי חיתום בתחום העסקים גדולים , מורכבים ומאתגרים o מתן מענה, שירות ומציאת פתרונות ביטוחיים לסוכנים, יועצים ומבוטחים o ממשקי עבודה מול סוכני ביטוח, מבטחי משנה וברוקרים רב לאומיים o ממשקי עבודה מול מחלקות ואגפים מגוונים בחברה (תביעות, גביה, אקטואריה, משנה וכד') דרישות התפקיד: o ניסיון והבנה בחיתום עסקים גדולים , מורכבים ומאתגרים מחברת ביטוח - חובה o ידע וניסיון בעבודה מול מבטחי משנה o אנגלית ברמה גבוהה o יכולת עבודה עצמאית - לצד עבודה בצוות o אסרטיביות בניהול מו""מ o סדר, ארגון ויכולת ניהול ריבוי משימות",https://www.ayalon-ins.co.il/career/jobs/1996,2026-07-01,2026-07-01,ayalon
מפיק/ת פוליסות בריאות,איילון,רמת גן,בק אופיס ותפעול,"הגדרת התפקיד: אחריות על הקמות, שינויים וחידושי פוליסות בתחום הבריאות עבודה על מערכות ביטוח שונות עבודה מול סוכנים דרישות התפקיד: ניסיון בהפקת פוליסות – יתרון משמעותי שליטה במערכות ביטוח – חובה יכולת ירידה לפרטים, ראש גדול יכולת עבודה עצמאית",https://www.ayalon-ins.co.il/career/jobs/1992,2026-07-01,2026-07-01,ayalon
נציג/ת שירות לקוחות  בתחום הבריאות,איילון,חולון,שירות לקוחות שימור ומכירות,"הגדרת התפקיד: o מענה לשיחות נכנסות מלקוחות בתחום ביטוח הבריאות. o הכרת פוליסות הבריאות וטיפול מקצועי, שוטף ומקיף בפניית הלקוח דרישות התפקיד: o ניסיון שירותי קודם ממוקדים או תפקיד טלפוני/משרדי – חובה o מכוונות לעבודה במוקד טלפוני שירותי o הכרות עם תחום הבריאות או הביטוח- ייתרון o נכונות לעבודה בשעות 8:00 עד 16:00 בימים א-ה",https://www.ayalon-ins.co.il/career/jobs/1991,2026-07-01,2026-07-01,ayalon
מיישב/ת תביעות ביטוח חיים,איילון,רמת גן,יישוב תביעות,"הגדרת התפקיד: o אחריות על סילוק תביעות מתחום החיים והבריאות מרגע פתיחת התביעה ובדיקת זכאות o עבודה מול מבוטחים וסוכנים o עבודה מול ממשקים פנים ארגונים לרבות מחלקת החיתום o הבנה של נספחי פוליסה ויישום o ליווי התביעה עד לסגירתה דרישות התפקיד: o ניסיון בתחום ביטוח חיים – חובה o הסמכת עו""ד – יתרון o שליטה ב-EXCEL o יכולת ירידה לפרטים o יכולת עבודה בצוות ותודעת שירות גבוה",https://www.ayalon-ins.co.il/career/jobs/1990,2026-07-01,2026-07-01,ayalon
מגדיר/ת דרישות - חיסכון לטווח ארוך,איילון,רמת גן,טכנולוגיות ומערכות מידע,"הגדרת התפקיד: o הגדרת דרישות למערכת המיכון כולל התייחסות לפונקציות במערכת ודגשים לבדיקות הכוללים קריאה ואישור מסמכי אפיון o תמיכה במשתמשים, הדרכות, תמיכה בתקלות o תחקור, הבנה וייצוג צרכי המשתמש מול הפיתוח o ניהול הדרישה מול גורמים שונים בארגון o הכוונה מקצועית תוך התייחסות לתהליכי העבודה בארגון דרישות התפקיד: o ניסיון של כ3 שנים ומעלה מעולם הביטוח / הפיננסי – חובה o השכלה רלוונטית במקצועות מערכות מידע / תעשיה וניהול – יתרון משמעותי o שותפות בהובלת פרויקטים כגון הסבת מערכות והטמעת מערכות חדשות o יכולות ניתוח, חשיבה מעמיקה, ראייה מערכתית o יחסי אנוש מעולים",https://www.ayalon-ins.co.il/career/jobs/1978,2026-07-01,2026-07-01,ayalon
חשב/ת קופות גמל,איילון,רמת גן,פיננסים השקעות ושוק ההון,"הגדרת התפקיד: o אחריות מלאה על הדיווח הכספי של החברה המנהלת בהתאם לתקינה הרלוונטית. o הכנה ובקרה של דוחות כספיים תקופתיים ושנתיים, לרבות דיווחים רגולטוריים לרשות שוק ההון, ביטוח וחיסכון, מס הכנסה ורשויות נוספות. o הכנת דיווחים לחברה האם הציבורית, כולל דיווחים תקופתיים, רבעוניים ושנתיים, ותמיכה בתהליכי הדיווח (לוחות זמנים, בקרה ודיוק הנתונים). o עבודה שוטפת מול רואי חשבון מבקרים, יועצים חיצוניים וגורמי רגולציה לשם הבטחת עמידה בדרישות ובקרות. o בקרה על הרישומים בהנהלת חשבונות, BO ותקציב, תוך וידוא נכונות ודיוק הנתונים הכספיים. o הקמה, פיתוח והטמעה של תהליכי עבודה, בקרה ומדיניות פיננסית בחברה חדשה, כולל בניית מנגנוני בקרה על נתונים פיננסיים ותפעוליים. o אחריות על בקרה פיננסית ותפעולית מול הגורם המתפעל של קופות הגמל, ווידוא עמידה ב-SLA התאמות, בקרות וטיוב נתונים. דרישות התפקיד: o לפחות 4 שנות ניסיון מקצועי בגוף פיננסי או כמנהל.ת ביקורת במשרד רו""ח o ניסיון בעבודה מול רגולציה פיננסית וחברות ציבוריות – חובה, יתרון משמעותי לדיווחים לחברה ציבורית o היכרות עם תחום קופות גמל/פנסיה והכנת דוחות כספיים ודוחות מס בגופים פיננסיים – יתרון o ניסיון בהובלה והקמת תהליכים פיננסיים, לרבות ניסיון ניהולי – יתרון o הבנה רגולטורית ופיננסית מעמיקה, סדר, דיוק ויכולת עבודה תחת ריבוי ממשקים o יכולת הובלת צוות, עבודה מול הנהלה בכירה ויחסי אנוש מעולים",https://www.ayalon-ins.co.il/career/jobs/1974,2026-07-01,2026-07-01,ayalon
חתמ/ת עסקים במחוז ירושלים,איילון,,,"הגדרת התפקיד: חתמ/ת עסקים לעבודה בצוות מקצועי מול סוכני הביטוח, אחריות על תהליכי חיתום עסקי, תפקיד מגוון ומאתגר . דרישות התפקיד: ניסיון מתאים מעולם הביטוח מחברת ביטוח / סוכנות ביטוח ניסיון וידע בחיתום עסקים - יתרון משמעותי ביותר יכולת שירות גבוהה, יחסי אנוש מעולים, יכולת עבודה בצוות, נכונות לעבודה מאתגרת",https://www.ayalon-ins.co.il/career/jobs/1970,2026-07-01,2026-07-01,ayalon
מפקח/ת רכישה,איילון,רמת גן,שירות לקוחות שימור ומכירות,"הגדרת התפקיד: o הובלה מקצועית של סוכני ביטוח ופיננסים o גיוס, חניכה ופיתוח סוכנים חדשים o פיתוח עסקי ושימור סוכנים קיימים o בניית תוכנית עבודה שנתית ועמידה ביעדים o מתן ערך מקצועי ומסחרי לסוכנים תוך שיתוף פעולה עם יחידות פנימיות בחברה דרישות התפקיד: o ניסיון מוכח במכירות בתחומי ביטוח/פיננסים – חובה o ניסיון מוכח בפיקוח וניהול סוכנים – חובה o התמחות והבנה עמוקה בעולם הפיננסים o יכולת ניהולית והובלה של צוותים o יוזמה, חשיבה עסקית ויכולת גבוהה בהנעת אנשים",https://www.ayalon-ins.co.il/career/jobs/1910,2026-07-01,2026-07-01,ayalon
חתם/ת הנדסי,איילון,רמת גן,חיתום,"הגדרת התפקיד: o עבודה בצוות o חיתום פרויקטים לבנייה ולתשתיות גדולים וטיפול מהקצה לקצה לרבות תפעול בשוטף o ניהול משא ומתן עם סוכני ביטוח, יועצי ביטוח (לרבות מפרטים), מבטחי משנה וברוקרים o עבודה מול ממשקים בחברה כדוגמת : תביעות, גבייה, יועצים משפטיים o עמידה ביעדי המחלקה דרישות התפקיד: o תואר ראשון בביטוח, משפטים, כלכלה, מנה""ע – יתרון o שליטה בשפה האנגלית ברמה גבוהה (קריאה, כתיבה, דיבור) o ידע רחב בביטוחים עסקיים, הנדסיים ומקצועיים o ניסיון בחיתום עסקי או הנדסי לפחות 3 שנים o ניסיון בעבודה עם ברוקרים, מבטחי משנה, יועצי ביטוח וסוכנים -ייתרון משמעותי o יכולת עבודה עצמאית וצוותית o עמידה בעבודה מרובת משימות o תודעת שירות גבוהה, דיוק ויסודיות, כושר ביטוי גבוה, ניהול משא ומתן וקידום תהליכים o שליטה ביישומי אופיס, היכרות עם מערכות תפעול והפקה (בוסונובה) -ייתרון",https://www.ayalon-ins.co.il/career/jobs/1816,2026-07-01,2026-07-01,ayalon
מיישב/ת תביעות רכב למגוון תחומים,איילון,רמת גן,יישוב תביעות,"דרוש/ה מיישב/ת תביעות רכב למגוון תחומים - צדי ג', מחלקה משפטית ונזק חלקי. התפקיד כולל: o ניהול מלא של תהליך תביעות רכב o עבודה מול שמאים וסוכנים o ניהול משא ומתן o עבודה על מערכות ביטוח o עבודה תחת לחץ ויעדים דרישות התפקיד: o ניסיון מעולם הביטוח בתחום הרכב– חובה o שליטה ביישומי OFFICE o שליטה במערכות ביטוח לרבות CRM ומערכת ירוקה – יתרון o יכולת עבודה בצוות וסביבת עבודה דינאמית o יכולת לעבודה מרובת משימות",https://www.ayalon-ins.co.il/career/jobs/1758,2026-07-01,2026-07-01,ayalon
