title,company,location,department,description,url,date_posted,first_seen,source
כלכלן.ית בקרה ותפעול פיננסי,מנורה מבטחים,,כספים והשקעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
אנליסט.ית אקטוארי.ת,מנורה מבטחים,,אקטואריה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
"עו""ד - רכז.ת עיקולים- משרה חלקית",מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
אנליסט.ית מחקר סחיר,מנורה מבטחים,,כספים והשקעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת השקעות תשתיות,מנורה מבטחים,,כספים והשקעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
כלכלן.ית באגף הכספים,מנורה מבטחים,,כספים והשקעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת אשראי ליווי בניה וערבויות,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רואה.ת חשבון,מנורה מבטחים,,כספים והשקעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת מחלקת גזברות וקופה,מנורה מבטחים,,כספים והשקעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
אנליסט.ית אקטואר.ית,מנורה מבטחים,,אקטואריה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
אנליסט.ית סולבנסי וסיכונים ביטוחיים,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
אחראי.ת משמרת מוקד תביעות- אגף אלמנטרי,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רפרנט.ת תביעות למחוז מרכז אלמנטרי,מנורה מבטחים,,חתמים,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
"חתם.ת עסקים גדולים זמני.ת החלפה לחל""ד",מנורה מבטחים,,חתמים,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
חתם.ת פרט- מחוז ירושלים,מנורה מבטחים,,חתמים,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
"מפיק.ה פוליסות ביטוחי משנה החלפה לחל""ד",מנורה מבטחים,,תפעול,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
חתם.ת פרט מחוז צפון,מנורה מבטחים,,חתמים,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
נציג.ת שירות מוקד פנסיה וגמל חיפה-אופציה להתמחות ומימון לימודים על חשבון החברה,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
חתם.ת עסקים מחוז צפון,מנורה מבטחים,,חתמים,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת פרויקטים אגף אלמנטרי,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רכז.ת גביה,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
חתם.ת עסקים,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
"מיישב.ת תביעות רכב צד ג' זמני.ת החלפה לחל""ד עם אופציה",מנורה מבטחים,,מיישבי תביעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת פרויקטים,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת מחלקת תביעות רכוש חבויות וסיכונים מיוחדים,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
חתם.ת פרט,מנורה מבטחים,,חתמים,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
