title,company,location,date,url,workplace_type,source
Senior Backend Developer,Pruvo,Madrid,2026-04-25,https://wellfound.com/l/2Cdq8G,remote,direct
Senior Data Scientist,Pruvo,Madrid,2026-04-25,https://wellfound.com/l/2Cdq8Q,remote,direct
