title,company,location,date,url,department,workplace_type,level,source,position_type
למוקדי השירות של אגף הכספים ואגף משאבי אנוש במשרד הביטחון דרושים נציגי שירות,לוגו משרד הביטחון,תל אביב,2026-06-10,https://hujicareer.co.il/jobs/%d7%9c%d7%9e%d7%95%d7%a7%d7%93%d7%99-%d7%94%d7%a9%d7%99%d7%a8%d7%95%d7%aa-%d7%a9%d7%9c-%d7%90%d7%92%d7%a3-%d7%94%d7%9b%d7%a1%d7%a4%d7%99%d7%9d-%d7%95%d7%90%d7%92%d7%a3-%d7%9e%d7%a9%d7%90%d7%91%d7%99/,,onsite,junior,huji,
"לתאגיד החינוך ""לביא"" בירושלים דרוש/ה רכז/ת משאבי אנוש",HUJI Career,ירושלים,2026-06-10,https://hujicareer.co.il/jobs/%d7%9c%d7%aa%d7%90%d7%92%d7%99%d7%93-%d7%94%d7%97%d7%99%d7%a0%d7%95%d7%9a-%d7%9c%d7%91%d7%99%d7%90-%d7%91%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a8%d7%9b/,,onsite,junior,huji,
דרוש סטודנט באגף הון אנושי במשרד הפנים בירושלים,משרד הפנים לוגו,ירושלים,2026-06-10,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%91%d7%90%d7%92%d7%a3-%d7%94%d7%95%d7%9f-%d7%90%d7%a0%d7%95%d7%a9%d7%99-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%a4%d7%a0%d7%99%d7%9d-4/,,onsite,junior,huji,
מדריכים ומדריכות לבתי ספר ותוכניות העשרה,download (5),,2026-06-10,https://hujicareer.co.il/jobs/%d7%9e%d7%93%d7%a8%d7%99%d7%9b%d7%99%d7%9d-%d7%95%d7%9e%d7%93%d7%a8%d7%99%d7%9b%d7%95%d7%aa-%d7%9c%d7%91%d7%aa%d7%99-%d7%a1%d7%a4%d7%a8-%d7%95%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%95%d7%aa-%d7%94%d7%a2/,,onsite,junior,huji,
אנליטיקאי/ת,c3,ירושלים,2026-06-10,https://hujicareer.co.il/jobs/%d7%90%d7%a0%d7%9c%d7%99%d7%98%d7%99%d7%a7%d7%90%d7%99-%d7%aa/,,onsite,junior,huji,
עוזר/ת מינהל - הפקולטה לחקלאות,HUJI Career,רחובות,2026-06-10,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%96%d7%a8-%d7%aa-%d7%9e%d7%99%d7%a0%d7%94%d7%9c-%d7%94%d7%a4%d7%a7%d7%95%d7%9c%d7%98%d7%94-%d7%9c%d7%97%d7%a7%d7%9c%d7%90%d7%95%d7%aa/,,onsite,junior,huji,
רכז/ת היחידה ללימודי שפות - הפקולטה למדעי הרוח,HUJI Career,ירושלים,2026-06-10,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%94%d7%99%d7%97%d7%99%d7%93%d7%94-%d7%9c%d7%9c%d7%99%d7%9e%d7%95%d7%93%d7%99-%d7%a9%d7%a4%d7%95%d7%aa-%d7%94%d7%a4%d7%a7%d7%95%d7%9c%d7%98%d7%94-%d7%9c%d7%9e%d7%93%d7%a2-3/,,onsite,junior,huji,
רכז/ת תוכניות ובית הארחה - בית הספר הבינלאומי למדעי החקלאות,HUJI Career,רחובות,2026-06-10,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%95%d7%aa-%d7%95%d7%91%d7%99%d7%aa-%d7%94%d7%90%d7%a8%d7%97%d7%94-%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%91%d7%99%d7%a0/,,onsite,junior,huji,
עובד/ת מעבדה/עובד/ת מעבדה מתקדם,111111,,2026-06-10,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%91%d7%93-%d7%aa-%d7%9e%d7%a2%d7%91%d7%93%d7%94-%d7%a2%d7%95%d7%91%d7%93-%d7%aa-%d7%9e%d7%a2%d7%91%d7%93%d7%94-%d7%9e%d7%aa%d7%a7%d7%93%d7%9d/,,onsite,junior,huji,
מגוון משרות במרכז עדי ירושלים - מרכז לילדים וצעירים עם מוגבלויות,logo (2),ירושלים,2026-06-10,https://hujicareer.co.il/jobs/%d7%9e%d7%92%d7%95%d7%95%d7%9f-%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%91%d7%9e%d7%a8%d7%9b%d7%96-%d7%a2%d7%93%d7%99-%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%9e%d7%a8%d7%9b%d7%96-%d7%9c%d7%99%d7%9c/,,onsite,junior,huji,
