title,company,location,date,deadline,url,department,workplace_type,description,requirements
רכז/ת לענייני סטודנטים-המחלקה למדעי החיים-הפקולטה למדעי הטבע (מס' 2026 - 153),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-05-23,2026-05-24,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,,
מתאמ/ת סגל הוראה אקדמי-מדור סגל הוראה אקדמי-מחלקת משאבי אנוש – HR4U (מרכז לעובד)-אגף משאבי אנוש (מס' 2026 - 166),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-05-23,2026-05-24,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,,
"ראש/ת לשכת מנכ""ל (מס' 2026 - 164)",אוניברסיטת בן-גוריון בנגב,באר שבע,2026-05-23,2026-05-25,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,,
