title,company,location,date_posted,deadline,url,source,education,experience,summary
"ר' תחום שירותי רפואה בחו""ל",אגף השיקום,פתח תקוה,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24437,mod,אקדמית (תואר ראשון),3 שנות ניסיון במשאבי אנוש/ארגון ותקינה/רווחה/הדרכה/ גיוס והשמה/ ניהול תהליכי טיפול בפרט. לבעל/ת תואר שני תופחת שנת ניסיון אחת.,"ניהול ותיאום מתן שירותים רפואיים הניתנים לכלל נכי צה""ל השוהים בחו""ל , עפ""י חוק הנכים (תגמולים ושיקום), תשי""ט-1959 [נוסח משולב] והוראות האגף. אחריות על פעילות ועדות פרוסטטיות ביחידה, יועצים וכלל ההסכמים הכרוכים בפעילות היחידה."
"ע""ב לתגמולי נכים ותשלומים",אגף השיקום,פתח תקוה,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24450,mod,"השכלה אקדמית (תואר ראשון) בכלכלה או בחשבונאות או במנהל עסקים או פכ""מ או חכ""מ או רו""ח בעל רישיון לראיית חשבון ממועצת רואי החשבון בישראל.","2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בפירוט המטלות בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעל/ת תואר שני תופחת שנת ניסיון אחת. הערה: ניתן למנות גם את שנות הניסיון המקצועי שנרכש ע""י המועמד/ת טרם קבלת התואר האקדמי הנדרש בסעיף ההשכלה.","אחריות על בקרה ואישור תגמולי נכים ותשלומים מיוחדים בהתאם לחוק הנכים(תגמולים ושיקום), תשי""ט-1959 [נוסח משולב]."
"ע' בכיר לרווחה חו""ל","משפחות, הנצחה ומורשת",טבריה,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24453,mod,אקדמאי/ת ( תואר ראשון),"2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בפירוט המטלות בתיאור התפקיד, והתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.","אחריות על מתן שירותי רווחה וניהול מעקב אחר ביצוע מימוש הזכאות של אוכלוסיית הזכאים בחו""ל . מעורבות במצבים שונים בהתאם לסמכויות."
ע' בכיר לשירותים רפואיים,אגף השיקום,תל השומר,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24461,mod,אקדמאית (תואר ראשון),2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
"ר' תחום מדיניות שת""פ וקש""ח מזרח אירופה",ביטחוני מדיני,תל אביב-יפו,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24464,mod,"אקדמאי/ת (תואר ראשון), רצוי בתום מדעי המדינה/יחסים בינלאומיים.","ניסיון של 3 שנים בתחומי תכנון מדיניות שת""פ בינ""ל וקשרי חוץ בתחום המדיני או הביטחוני. לבעלי/ות תואר שני תופחת שנת ניסיון אחת. במכרז פנימי רצוי מי ששימש/ה שנתיים לפחות ברמת מנהל מחלקה במשרד. למשרה מס' 10144559 - נדרשת שליטה מלאה (כתיבה/קריאה/דיבור) בשפה האנגלית והרוסית - חובת מעבר מבחן שפה. למשרה מס' 10144564- נדרשת שליטה מלאה (כתיבה/קריאה/דיבור) בשפה האנגלית והספרדית - חובת מעבר מבחן שפה. למשרה מס' 62700 - נדרשת שליטה מלאה (כתיבה/קריאה/דיבור) בשפה האנגלית - חובת מעבר מבחן שפה.","ריכוז פעולות התכנון, התיאום וההנחייה של מדיניות שיתופי הפעולה וקשרי החוץ הביטחוניים הנוגעים לאזור הג""ג שבתחום האחריות."
ע' בכיר וועדות רפואיות - מרכז,אגף השיקום,תל השומר,2026-05-19,2026-06-02,https://jobs.mod.gov.il/#/Tenders?TenderId=24482,mod,השכלה אקדמית (תואר ראשון).,2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בפירוט המטלות בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,"אחריות לפעילות התקינה של הועדות הרפואיות במרכזים השונים בפריסה ארצית , עפ""י הנחיות הממונה ."
ע' בכיר לשירותים רפואיים,אגף השיקום,באר שבע,2026-05-14,2026-05-28,https://jobs.mod.gov.il/#/Tenders?TenderId=24406,mod,אקדמאית (תואר ראשון),2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
ראש תחום למענים סוציאליים,אגף השיקום,פתח תקוה,2026-05-14,2026-05-28,https://jobs.mod.gov.il/#/Tenders?TenderId=24412,mod,אקדמית- תואר ראשון בעבודה סוציאלית רישום בפנקס העובדים הסוציאליים תואר שני – יתרון,"ניסיון של שנתיים בעבודה סוציאלית, בעדיפות לתחום השיקום לבעלי/ות תואר שני תופחת שנת ניסיון אחת רצוי ניסיון בעבודה שיקומית / עם אוכלוסיות במצבי טראומה או משבר","אחריות לריכוז העבודה המקצועית להוביל ולקדם תכניות התערבות והתקשרויות בתחום הטיפול והמענים השיקומיים לנכי צה""ל."
ע' בכיר לרווחה- יתומים,"משפחות, הנצחה ומורשת",טבריה,2026-05-14,2026-05-28,https://jobs.mod.gov.il/#/Tenders?TenderId=24416,mod,השכלה אקדמית (תואר ראשון).,"שנתיים ניסיון בתחום העיסוק של המשרה כמתואר בפירוט המטלות בתיאור התפקיד, או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת",אחריות על מתן שירותי הרווחה וניהול מעקב אחר ביצוע מימוש הזכאות של אוכלוסיית יתומים ואוכלוסיות ייחודיות נוספות. מעורבות במצבים חריגים בהתאם לסמכויות.
עובד סוציאלי,אגף השיקום,באר שבע,2026-05-14,2026-05-28,https://jobs.mod.gov.il/#/Tenders?TenderId=24418,mod,אקדמאית (תואר ראשון) בעבודה סוציאלית. רישום בפנקס העובדים הסוציאליים.,רצוי ניסיון בעבודה סוציאלית.,"נשיאה באחריות למתן שירות טיפולי שיקומי בתחום האזור הגיאוגרפי המוגדר. נשיאה באחריות על ניהול, ארגון וקידום נושא מקצועי בתחום השיקום במחוז."
ר' תחום ניתוח מערכות,דיגיטל וטכנולוגיית המידע,תל אביב-יפו,2026-05-14,2026-05-28,https://jobs.mod.gov.il/#/Tenders?TenderId=24425,mod,אקדמאית (תואר ראשון) /הנדסאי/ת או טכנאי/ת.,"ניסיון של 3 שנים לאקדמאי/ת, 4 שנים להנדסאי/ת ו- 5 שנים לטכנאי/ת, בתחום התכנות/ניתוח מערכות. לבעלי/ות תואר שני תופחת שנת ניסיון אחת. רצויה הכרת 2 שפות לפחות בתכנות בתקשוב (C#,.NET ,ABAP P.L.1 JAVA SCRIPT).","נשיאה באחריות על ניתוח המערכות המופעלות/הנדרשות במשרד, בהתאם להנחיות הממונה ולנהלים ."
